"Data for Figure S5: Comparison between available regulatory POD values (PODreg,BMDh) and estimated PODp05BMDh (A-B), PODp15BMDh (C-D), PODp25BMDh (E-F), PODp35BMDh (G-H), differentiating between general non-cancer effects (left side, n=744) and reproductive/developmental effects (right side, n=41). The black line represents the 1:1 line, while the red line is the best fit. ",,,,,,,,,,,
non-reproductive/developmental effects (general non-cancer effects),,,,,,reproductive/developmental effects,,,,,
casrn,Log10 PODp05BMDh,Log10 PODp15BMDh,Log10 PODp25BMDh,Log10 PODp35BMDh,"Log10 PODreg,BMDh",casrn,Log10 PODp05BMDh,Log10 PODp15BMDh,Log10 PODp25BMDh,Log10 PODp35BMDh,"Log10 PODreg,BMDh"
100-00-5,-1.601,-1.286,-1.099,-0.949,-0.891,10049-04-4,0.089,0.198,0.263,0.315,0.191
100-01-6,-0.973,-0.508,-0.232,-0.011,0.286,103-23-1,1.494,1.704,1.829,1.929,1.944
100-21-0,1.309,1.644,1.843,2.002,2.193,10453-86-8,0.567,0.763,0.879,0.972,0.635
100-25-4,-1.414,-1.079,-0.880,-0.721,-0.534,104-76-7,1.102,1.376,1.538,1.669,0.732
100-41-4,1.227,1.389,1.486,1.563,2.028,106-89-8,-0.604,-0.095,0.208,0.450,0.033
100-42-5,1.328,1.629,1.809,1.952,2.728,107-13-1,-0.572,-0.197,0.026,0.204,-0.364
100-44-7,-0.615,-0.280,-0.081,0.078,0.369,109-86-4,0.444,0.757,0.943,1.092,0.413
100-51-6,1.472,1.674,1.795,1.891,2.030,111-77-3,1.699,2.010,2.195,2.342,0.944
100-52-7,1.601,1.763,1.860,1.938,1.917,112-27-6,1.759,2.186,2.441,2.644,1.714
100-61-8,-0.438,-0.104,0.096,0.255,0.563,118-52-5,1.717,1.990,2.153,2.283,1.941
100646-51-3,-1.110,-0.775,-0.576,-0.417,-0.093,122836-35-5,0.355,0.631,0.796,0.927,0.714
100784-20-1,0.745,1.115,1.334,1.510,1.398,153719-23-4,0.613,0.971,1.184,1.355,-0.207
101-14-4,-0.138,0.196,0.396,0.555,0.702,162650-77-3,-0.285,-0.011,0.152,0.282,0.454
101200-48-0,-0.472,-0.080,0.154,0.340,0.211,1918-00-9,0.535,0.881,1.087,1.252,0.418
101-21-3,0.958,1.312,1.523,1.692,1.609,210880-92-5,0.478,0.692,0.819,0.921,0.705
1024-57-3,-2.224,-1.890,-1.691,-1.532,-2.070,2212-67-1,-1.508,-0.892,-0.526,-0.234,-0.985
10265-92-6,-2.104,-1.625,-1.340,-1.112,-1.502,2312-35-8,-0.051,0.293,0.498,0.662,0.242
102-76-1,1.625,1.959,2.158,2.317,2.333,23564-05-8,0.147,0.349,0.469,0.564,0.617
1031-07-8,-1.261,-0.927,-0.727,-0.568,-0.102,239110-15-7,1.010,1.162,1.253,1.325,1.242
103-23-1,1.743,1.917,2.021,2.103,2.095,243973-20-8,1.157,1.431,1.594,1.724,1.418
103361-09-7,-0.586,0.016,0.374,0.660,0.253,27176-87-0,0.840,1.230,1.463,1.648,1.413
103-65-1,1.214,1.549,1.748,1.907,2.028,51218-45-2,0.407,0.833,1.086,1.288,0.890
103-72-0,-0.652,-0.318,-0.119,0.040,0.095,556-88-7,1.654,1.892,2.033,2.146,2.441
104040-78-0,-0.645,-0.310,-0.111,0.048,0.154,5598-13-0,-1.223,-0.800,-0.548,-0.347,-0.286
104098-48-8,1.809,2.025,2.154,2.256,2.057,58138-08-2,-1.507,-1.233,-1.070,-0.940,-0.768
104206-82-8,-1.408,-0.454,0.114,0.567,-0.280,59-50-7,0.832,1.048,1.176,1.279,1.191
104-51-8,1.323,1.658,1.857,2.016,2.240,60168-88-9,-1.374,-0.835,-0.515,-0.259,-0.198
10453-86-8,0.787,1.186,1.424,1.614,1.496,62-75-9,-3.355,-3.081,-2.918,-2.788,-2.443
104-76-7,1.444,1.681,1.822,1.934,1.423,71751-41-2,-1.452,-1.207,-1.061,-0.944,-1.207
105511-96-4,-2.411,-2.077,-1.878,-1.719,-1.482,72-43-5,0.076,0.350,0.512,0.643,0.641
105-60-2,1.107,1.435,1.630,1.786,1.563,74-11-3,0.551,0.825,0.988,1.118,1.140
105-67-9,0.986,1.232,1.378,1.495,1.618,756-79-6,1.416,1.690,1.853,1.983,1.490
10599-90-3,0.227,0.392,0.490,0.568,0.930,7758-19-2,0.021,0.225,0.347,0.444,0.191
106325-08-0,-0.650,-0.316,-0.117,0.042,0.341,78-92-2,1.972,2.187,2.315,2.417,2.682
106-37-6,-0.002,0.333,0.532,0.691,0.864,79-01-6,-1.999,-0.970,-0.358,0.131,-2.428
106-42-3,1.460,1.642,1.751,1.838,1.967,79-10-7,1.291,1.513,1.645,1.750,1.438
106-43-4,0.377,0.712,0.911,1.070,1.864,88-06-2,0.104,0.378,0.541,0.671,0.191
106-44-5,0.926,1.236,1.420,1.567,1.094,88-74-4,1.498,1.717,1.847,1.951,1.890
106-46-7,1.000,1.301,1.480,1.623,1.232,88-85-7,-0.346,-0.073,0.090,0.220,-0.763
106-47-8,-0.835,-0.467,-0.248,-0.073,0.383,94-81-5,0.379,0.652,0.815,0.945,1.238
106-49-0,0.023,0.358,0.557,0.716,0.746,95-57-8,-0.189,0.085,0.247,0.378,0.413
106-50-3,-0.706,-0.258,0.009,0.223,0.690,,,,,,
106-93-4,0.582,0.756,0.859,0.942,0.995,,,,,,
107-02-8,-1.633,-1.118,-0.812,-0.567,-1.738,,,,,,
107-06-2,0.430,0.813,1.041,1.223,1.151,,,,,,
107-07-3,1.038,1.185,1.273,1.343,1.611,,,,,,
107-13-1,-0.762,-0.483,-0.316,-0.183,0.225,,,,,,
107-15-3,0.741,0.850,0.915,0.967,0.819,,,,,,
1071-83-6,1.041,1.424,1.652,1.834,1.732,,,,,,
107-18-6,-0.526,-0.181,0.024,0.188,0.590,,,,,,
107-19-7,-0.713,-0.213,0.084,0.321,0.651,,,,,,
107-21-1,1.506,1.807,1.987,2.130,2.306,,,,,,
1073-06-9,-1.102,-0.767,-0.568,-0.409,-0.136,,,,,,
107534-96-3,0.023,0.358,0.557,0.716,0.398,,,,,,
107-98-2,1.844,2.140,2.317,2.458,3.017,,,,,,
108-05-4,1.562,1.747,1.857,1.945,1.864,,,,,,
108-10-1,1.508,1.738,1.874,1.983,2.306,,,,,,
108-31-6,0.675,0.914,1.056,1.170,0.908,,,,,,
108-36-1,-1.111,-0.776,-0.577,-0.418,-0.056,,,,,,
108-38-3,1.397,1.587,1.700,1.790,1.967,,,,,,
108-39-4,1.166,1.394,1.529,1.638,1.651,,,,,,
108-45-2,-0.302,0.032,0.232,0.391,0.819,,,,,,
108-60-1,-0.016,0.447,0.722,0.942,1.341,,,,,,
108-62-3,0.417,0.686,0.847,0.975,1.398,,,,,,
108-86-1,0.550,0.884,1.083,1.242,1.408,,,,,,
108-88-3,1.844,1.994,2.083,2.155,2.241,,,,,,
108-90-7,-0.495,0.232,0.664,1.009,1.765,,,,,,
108-91-8,1.128,1.184,1.217,1.243,1.296,,,,,,
108-94-1,1.885,2.097,2.223,2.324,2.529,,,,,,
108-95-2,0.274,0.754,1.039,1.267,1.833,,,,,,
108-98-5,-0.445,-0.110,0.089,0.248,-0.848,,,,,,
109293-98-3,1.131,1.465,1.664,1.823,1.725,,,,,,
109-69-3,1.416,1.530,1.597,1.651,1.600,,,,,,
109-77-3,-1.480,-1.145,-0.946,-0.787,-0.446,,,,,,
109-78-4,1.009,1.181,1.284,1.366,1.734,,,,,,
109-99-9,2.087,2.422,2.621,2.780,2.832,,,,,,
110-00-9,-0.282,-0.129,-0.039,0.034,0.141,,,,,,
110235-47-7,-0.405,-0.070,0.129,0.288,0.794,,,,,,
110488-70-5,0.499,0.804,0.985,1.130,0.994,,,,,,
110-49-6,-0.549,-0.214,-0.015,0.144,0.318,,,,,,
110-54-3,1.323,1.657,1.857,2.016,2.275,,,,,,
11071-15-1,-2.044,-1.709,-1.510,-1.351,-0.754,,,,,,
110-80-5,0.625,1.157,1.473,1.726,1.957,,,,,,
110-83-8,0.447,0.781,0.980,1.139,0.546,,,,,,
110-86-1,-0.269,-0.050,0.080,0.184,-0.136,,,,,,
11097-69-1,-3.502,-2.496,-1.897,-1.419,-2.462,,,,,,
111-15-9,1.254,1.588,1.787,1.946,2.338,,,,,,
11126-42-4,-0.957,-0.622,-0.423,-0.264,0.097,,,,,,
111-30-8,0.196,0.522,0.715,0.870,0.642,,,,,,
111-42-2,0.267,0.476,0.600,0.699,0.700,,,,,,
1114-71-2,-0.252,0.082,0.281,0.440,0.192,,,,,,
111-48-8,1.478,1.789,1.974,2.122,2.197,,,,,,
111-84-2,0.004,0.391,0.622,0.806,0.560,,,,,,
111-90-0,1.780,2.053,2.215,2.345,2.263,,,,,,
111-91-1,0.152,0.498,0.704,0.869,1.040,,,,,,
111988-49-9,-0.362,0.040,0.279,0.470,0.120,,,,,,
111991-09-4,0.650,1.154,1.453,1.693,2.407,,,,,,
112143-82-5,-2.082,-1.326,-0.876,-0.517,-1.475,,,,,,
112281-77-3,-0.360,-0.127,0.012,0.123,0.261,,,,,,
112-34-5,1.549,1.753,1.874,1.971,1.773,,,,,,
112410-23-8,0.123,0.328,0.450,0.548,0.641,,,,,,
113136-77-9,-0.161,0.261,0.512,0.712,-0.224,,,,,,
1134-23-2,-0.705,-0.266,-0.005,0.204,-0.261,,,,,,
113-48-4,0.879,1.185,1.368,1.513,1.261,,,,,,
114-26-1,-0.712,-0.042,0.356,0.674,-0.356,,,,,,
114369-43-6,-0.286,-0.071,0.057,0.159,0.430,,,,,,
115-29-7,-1.063,-0.688,-0.465,-0.287,-0.285,,,,,,
115-32-2,-1.320,-0.654,-0.259,0.057,-0.611,,,,,,
115-96-8,0.278,0.638,0.853,1.024,1.018,,,,,,
116-06-3,-2.442,-2.016,-1.763,-1.561,-1.556,,,,,,
116714-46-6,-0.427,-0.002,0.251,0.452,-0.094,,,,,,
117337-19-6,-1.650,-0.771,-0.248,0.170,-1.037,,,,,,
117-81-7,-0.103,0.631,1.068,1.417,0.647,,,,,,
117-84-0,0.799,1.134,1.333,1.492,1.606,,,,,,
118134-30-8,0.398,0.629,0.767,0.877,0.840,,,,,,
118-52-5,1.928,2.140,2.267,2.368,2.430,,,,,,
118-74-1,-2.584,-2.208,-1.984,-1.805,-1.645,,,,,,
118-79-6,0.621,0.956,1.155,1.314,1.828,,,,,,
118-96-7,-1.229,-0.655,-0.315,-0.042,-0.292,,,,,,
119446-68-3,-0.602,-0.142,0.131,0.350,-0.153,,,,,,
119-90-4,-0.704,-0.369,-0.170,-0.011,-0.919,,,,,,
120068-37-3,-1.961,-1.377,-1.030,-0.752,-1.888,,,,,,
120116-88-3,0.888,1.315,1.569,1.773,1.896,,,,,,
120-12-7,1.884,2.218,2.417,2.576,2.875,,,,,,
120-61-6,1.378,1.625,1.772,1.889,1.660,,,,,,
120-82-1,0.422,0.694,0.856,0.985,1.071,,,,,,
120-83-2,-1.207,-0.455,-0.008,0.349,-0.570,,,,,,
121-14-2,-0.963,-0.694,-0.533,-0.405,-0.286,,,,,,
12122-67-7,-0.030,0.304,0.503,0.662,0.961,,,,,,
121552-61-2,-0.055,0.427,0.713,0.942,0.472,,,,,,
121-69-7,0.132,0.366,0.506,0.618,0.753,,,,,,
121-75-5,-0.145,0.336,0.623,0.852,0.240,,,,,,
121-82-4,-0.875,-0.349,-0.036,0.214,0.217,,,,,,
122008-85-9,-0.729,-0.171,0.161,0.426,-0.037,,,,,,
122-14-5,-1.226,-0.688,-0.368,-0.113,-0.505,,,,,,
122-34-9,-1.658,-0.957,-0.539,-0.206,-0.211,,,,,,
122-39-4,-0.016,0.398,0.645,0.841,0.880,,,,,,
122-42-9,0.748,1.082,1.281,1.440,1.563,,,,,,
122453-73-0,0.051,0.239,0.351,0.441,0.338,,,,,,
122836-35-5,0.852,1.068,1.196,1.299,0.864,,,,,,
122931-48-0,0.486,0.817,1.013,1.170,1.024,,,,,,
123-30-8,0.626,0.941,1.129,1.278,1.739,,,,,,
123312-89-0,-0.532,-0.061,0.220,0.444,-0.383,,,,,,
