MoleculeID,LogOH_exp,LogOH_pred,LogOH_predRange,AD_AOH,AD_index_AOH,Conf_index_AOH,AOH_CAS_neighbor_1,AOH_CAS_neighbor_2,AOH_CAS_neighbor_3,AOH_CAS_neighbor_4,AOH_CAS_neighbor_5,AOH_InChiKey_neighbor_1,AOH_InChiKey_neighbor_2,AOH_InChiKey_neighbor_3,AOH_InChiKey_neighbor_4,AOH_InChiKey_neighbor_5,AOH_DTXSID_neighbor_1,AOH_DTXSID_neighbor_2,AOH_DTXSID_neighbor_3,AOH_DTXSID_neighbor_4,AOH_DTXSID_neighbor_5,LogOH_Exp_neighbor_1,LogOH_Exp_neighbor_2,LogOH_Exp_neighbor_3,LogOH_Exp_neighbor_4,LogOH_Exp_neighbor_5,LogOH_pred_neighbor_1,LogOH_pred_neighbor_2,LogOH_pred_neighbor_3,LogOH_pred_neighbor_4,LogOH_pred_neighbor_5,nBondsD2,C1SP2,GATS1e,minwHBa,AATS0e,maxwHBa,maxdCH2,TIC1,AATS1e,AATS3i,AATS3e,nHCsatu,SHdsCH
DTXSID5020281,NaN,-12.13,[-12.66:-11.6],1,0.531,0.578,98-95-3,88-75-5,581-89-5,88-72-2,99-08-1,LQNUZADURLCDLV-UHFFFAOYSA-N,IQUPABOKLQSFBK-UHFFFAOYSA-N,ZJYJZEAJZXVAMF-UHFFFAOYSA-N,PLAZTCDQAHEYBI-UHFFFAOYSA-N,QZYHIOPPLUPUJF-UHFFFAOYSA-N,DTXSID3020964,DTXSID1021790,DTXSID2073198,DTXSID4025791,DTXSID5021831,-12.85,-12.05,-11.25,-12.15,-12.02,-11.93,-11.95,-12.12,-11.84,-11.92,1,0,0.280093805571015,0.170246913580247,8.64983178571428,1.79307270233196,0,37.3029689088065,8.24060357142857,158.235557757299,8.17333248,0,0
DTXSID8020961,NaN,-11.83,[-12.15:-11.5],1,0.575,0.678,88-75-5,100-17-4,88-72-2,99-08-1,581-89-5,IQUPABOKLQSFBK-UHFFFAOYSA-N,BNUHAJGCKIQFGE-UHFFFAOYSA-N,PLAZTCDQAHEYBI-UHFFFAOYSA-N,QZYHIOPPLUPUJF-UHFFFAOYSA-N,ZJYJZEAJZXVAMF-UHFFFAOYSA-N,DTXSID1021790,DTXSID9059208,DTXSID4025791,DTXSID5021831,DTXSID2073198,-12.05,-11.61,-12.15,-12.02,-11.25,-11.95,-11.77,-11.84,-11.92,-12.12,1,0,0.386766034916297,0.0640740740740746,8.2912865,1.49814814814815,0,44,8.1971575,160.215865002707,7.92427186206897,0,0
DTXSID0021834,NaN,-11.94,[-12.13:-11.75],1,0.545,0.745,88-75-5,100-17-4,543-29-3,88-72-2,928-45-0,IQUPABOKLQSFBK-UHFFFAOYSA-N,BNUHAJGCKIQFGE-UHFFFAOYSA-N,LNNXFUZKZLXPOF-UHFFFAOYSA-N,PLAZTCDQAHEYBI-UHFFFAOYSA-N,QQHZPQUHCAKSOL-UHFFFAOYSA-N,DTXSID1021790,DTXSID9059208,DTXSID70202655,DTXSID4025791,DTXSID70239143,-12.05,-11.61,-12.04,-12.15,-11.77,-11.95,-11.77,-11.72,-11.84,-11.8,1,0,0.51764270607723,-0.0159259259259255,8.60614666666666,1.27592592592593,0,42.6033589341278,8.35541013333333,159.054492096385,8.16591037037037,0,0
DTXSID3032622,NaN,-10.56,[-10.88:-10.24],1,0.37,0.632,591-12-8,78-98-8,620-02-0,22056-82-2,141-46-8,QOTQFLOTGBBMEX-UHFFFAOYSA-N,AIJULSRZWUXGPQ-UHFFFAOYSA-N,OUDFNZMQXZILJD-UHFFFAOYSA-N,IAHZBRPNDIVNNR-UHFFFAOYSA-N,WGCNASOHLSPBMP-UHFFFAOYSA-N,DTXSID7047693,DTXSID0021628,DTXSID1060714,DTXSID20176539,DTXSID4074693,-10.16,-10.76,-10.29,-10.78,-11,-10.39,-10.84,-10.7,-10.6,-11.44,2,1,0.647686382461316,-0.18287037037037,8.38828766666667,1.38888888888889,0,38.2646625064904,8.32335766666667,168.042904317535,8.67696988235294,1,0.644444444444444
DTXSID2044347,NaN,-11.15,[-11.58:-10.72],1,0.388,0.623,98-86-2,100-17-4,759-94-4,881-03-8,24903-95-5,KWOLFJPFCHCOCG-UHFFFAOYSA-N,BNUHAJGCKIQFGE-UHFFFAOYSA-N,GUVLYNGULCJVDO-UHFFFAOYSA-N,IZNWACYOILBFEG-UHFFFAOYSA-N,XZFDKWMYCUEKSS-UHFFFAOYSA-N,DTXSID6021828,DTXSID9059208,DTXSID1024091,DTXSID2025761,DTXSID20865173,-11.56,-11.61,-10.5,-11.1,-10.84,-11.68,-11.77,-10.49,-11.59,-10.84,1,0,0.685665913650199,0.0765306122448985,7.70251028571429,1.77453703703704,0,60.728890874027,7.6953380952381,152.784443594601,7.852085,1,0
DTXSID9059204,NaN,-10.89,[-11.33:-10.45],1,0.345,0.601,100-17-4,54396-97-3,763-69-9,620-02-0,109-21-7,BNUHAJGCKIQFGE-UHFFFAOYSA-N,ANSOCBLHUNAGRK-UHFFFAOYSA-N,BHXIWUJLHYHGSJ-UHFFFAOYSA-N,OUDFNZMQXZILJD-UHFFFAOYSA-N,XUPYJHCZDLZNFP-UHFFFAOYSA-N,DTXSID9059208,DTXSID9068952,DTXSID0027309,DTXSID1060714,DTXSID7041702,-11.61,-10.87,-10.64,-10.29,-10.97,-11.77,-10.92,-10.98,-10.7,-11.02,1,1,0.672413188320398,0.240110859158479,8.1184685,1.80070987654321,0,54.3037625237982,7.90283544444444,150.792319739217,7.8970776,0,0
DTXSID4059205,NaN,-11.07,[-11.42:-10.72],1,0.325,0.625,54396-97-3,97-64-3,763-69-9,111-15-9,547-64-8,ANSOCBLHUNAGRK-UHFFFAOYSA-N,LZCLXQDLBQLTDK-UHFFFAOYSA-N,BHXIWUJLHYHGSJ-UHFFFAOYSA-N,SVONRAPFKPVNKG-UHFFFAOYSA-N,LPEKGGXMPWTOCB-UHFFFAOYSA-N,DTXSID9068952,DTXSID6029127,DTXSID0027309,DTXSID9021928,DTXSID0027197,-10.87,-11.41,-10.64,-10.89,-11.55,-10.92,-11.18,-10.98,-11.15,-11.48,1,1,0.85430350547708,-0.923469387755102,8.11194673684211,1.61453703703704,0,59.9557352532647,8.01124947368421,152.397633288673,7.952631125,0,0
DTXSID80889259,NaN,-10.44,[-10.68:-10.2],1,0.502,0.715,112-34-5,2568-90-3,5131-66-8,2568-92-5,4209-91-0,OAYXUHPQHDHDDZ-UHFFFAOYSA-N,QLCJOAMJPCOIDI-UHFFFAOYSA-N,RWNUSVWFHDHRCJ-UHFFFAOYSA-N,YJBUXLCNFNPNEB-UHFFFAOYSA-N,INMGJWCKWKKMPN-UHFFFAOYSA-N,DTXSID8021519,DTXSID3062528,DTXSID8027589,DTXSID30875844,DTXSID10871288,-10.13,-10.47,-10.42,-10.37,-10.87,-10.55,-10.45,-10.44,-10.49,-10.82,0,0,1.17102872503179,0,7.2940791724138,0,0,64.8814488586996,7.55354271428572,167.77087505823,7.32838066666666,0,0
DTXSID7030698,NaN,-10.53,[-10.9:-10.16],0,0.061,0.532,34123-59-6,5915-41-3,469-61-4,947-59-1,101-77-9,PUIYMUZLKQOUOZ-UHFFFAOYSA-N,FZXISNSWEXTPMF-UHFFFAOYSA-N,IRAQOCYXUMOFCW-UHFFFAOYSA-N,VLXDPFLIRFYIME-UHFFFAOYSA-N,YBRVSVVVWCFQMG-UHFFFAOYSA-N,DTXSID1042077,DTXSID4027608,DTXSID0047032,DTXSID20348370,DTXSID6022422,-10.92,-10.96,-10.17,-10.05,-10.52,-10.71,-10.59,-10.03,-10.12,-10.64,0,0,1.12270578358298,0,8.53268171428574,0,0,318.464438517743,8.46257709090908,164.465003032118,8.60617111111111,0,0
DTXSID2026652,NaN,-10.84,[-11.14:-10.54],1,0.621,0.726,98-51-1,99-87-6,98-06-6,581-40-8,611-14-3,QCWXDVFBZVHKLV-UHFFFAOYSA-N,HFPZCAJZSCWRBC-UHFFFAOYSA-N,YTZKOQUCBOVLHL-UHFFFAOYSA-N,WWGUMAYGTYQSGA-UHFFFAOYSA-N,HYFLWBNQFMXCPA-UHFFFAOYSA-N,DTXSID1024704,DTXSID3026645,DTXSID3047138,DTXSID2060383,DTXSID2050403,-10.85,-10.82,-11.34,-10.21,-10.91,-10.82,-10.99,-10.9,-10.7,-11,0,0,1.20833333333333,1.43,7.0472848,2.23611111111111,0,65.9037489594491,7.2867856,153.85020837979,7.12857269565218,0,0
