MoleculeID,BioDeg_exp,BioDeg_LogHalfLife_pred,BioDeg_predRange,AD_BioDeg,AD_index_BioDeg,Conf_index_BioDeg,BioDeg_CAS_neighbor_1,BioDeg_CAS_neighbor_2,BioDeg_CAS_neighbor_3,BioDeg_CAS_neighbor_4,BioDeg_CAS_neighbor_5,BioDeg_InChiKey_neighbor_1,BioDeg_InChiKey_neighbor_2,BioDeg_InChiKey_neighbor_3,BioDeg_InChiKey_neighbor_4,BioDeg_InChiKey_neighbor_5,BioDeg_DTXSID_neighbor_1,BioDeg_DTXSID_neighbor_2,BioDeg_DTXSID_neighbor_3,BioDeg_DTXSID_neighbor_4,BioDeg_DTXSID_neighbor_5,BioDeg_LogHalfLife_Exp_neighbor_1,BioDeg_LogHalfLife_Exp_neighbor_2,BioDeg_LogHalfLife_Exp_neighbor_3,BioDeg_LogHalfLife_Exp_neighbor_4,BioDeg_LogHalfLife_Exp_neighbor_5,BioDeg_LogHalfLife_pred_neighbor_1,BioDeg_LogHalfLife_pred_neighbor_2,BioDeg_LogHalfLife_pred_neighbor_3,BioDeg_LogHalfLife_pred_neighbor_4,BioDeg_LogHalfLife_pred_neighbor_5,BCUTp_1l,IC2,nF6Ring,nT6Ring,ATSC1p,VP_6
DTXSID5020281,NaN,0.68,[0.52:0.84],0,0.295,0.65,103-65-1|,100-41-4|,622-96-8|,1074-17-5|,141-93-5|,ODLMAHJVESYWTB-UHFFFAOYSA-N,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,JRLPEMVDPFPYPJ-UHFFFAOYSA-N,YQZBFMJOASEONC-UHFFFAOYSA-N,AFZZYIJIWUTJFO-UHFFFAOYSA-N,DTXSID3042219|,DTXSID3020596|,DTXSID9029194|,DTXSID4061466|,DTXSID1022003|,0.6,0.9,0.6,0.48,0.85,0.61,0.63,0.62,0.57,0.66,3.6547066016628,2.95021206491475,0,1,0.516515434285715,0.184610039237566
DTXSID8020961,NaN,0.82,[0.6:1.04],0,0.254,0.571,103-65-1|,100-41-4|,622-96-8|,141-93-5|,1640-89-7|,ODLMAHJVESYWTB-UHFFFAOYSA-N,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,JRLPEMVDPFPYPJ-UHFFFAOYSA-N,AFZZYIJIWUTJFO-UHFFFAOYSA-N,IFTRQJLVEBNKJK-UHFFFAOYSA-N,DTXSID3042219|,DTXSID3020596|,DTXSID9029194|,DTXSID1022003|,DTXSID5075109|,0.6,0.9,0.6,0.85,1.18,0.61,0.63,0.62,0.66,0.49,3.62764385594062,2.75,0,1,0.865603995000001,0.126914280576454
DTXSID0021834,NaN,0.61,[0.48:0.76],0,0.266,0.648,103-65-1|,1074-17-5|,622-96-8|,100-41-4|,620-14-4|,ODLMAHJVESYWTB-UHFFFAOYSA-N,YQZBFMJOASEONC-UHFFFAOYSA-N,JRLPEMVDPFPYPJ-UHFFFAOYSA-N,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,ZLCSFXXPPANWQY-UHFFFAOYSA-N,DTXSID3042219|,DTXSID4061466|,DTXSID9029194|,DTXSID3020596|,DTXSID6050386|,0.6,0.48,0.6,0.9,0.48,0.61,0.57,0.62,0.63,0.58,3.608283959837,3.10689059560852,0,1,0.763930990666666,0.113423261739291
DTXSID3032622,NaN,0.63,[0.48:0.87],0,0.357,0.603,103-65-1|,21964-49-8|,1074-17-5|,591-76-4|,592-27-8|,ODLMAHJVESYWTB-UHFFFAOYSA-N,XMRSTLBCBDIKFI-UHFFFAOYSA-N,YQZBFMJOASEONC-UHFFFAOYSA-N,GXDHCNNESPLIKD-UHFFFAOYSA-N,JVSWJIKNEAIKJW-UHFFFAOYSA-N,DTXSID3042219|,DTXSID80176373|,DTXSID4061466|,DTXSID5052256|,DTXSID2060460|,0.6,1.11,0.48,0.48,0.48,0.61,0.59,0.57,0.84,0.61,3.98255947691588,3.18872187554087,0,0,-0.158632533333333,0
DTXSID2044347,NaN,0.69,[0.48:0.93],1,0.388,0.619,103-65-1|,21964-49-8|,1074-17-5|,2213-23-2|,592-27-8|,ODLMAHJVESYWTB-UHFFFAOYSA-N,XMRSTLBCBDIKFI-UHFFFAOYSA-N,YQZBFMJOASEONC-UHFFFAOYSA-N,AUKVIBNBLXQNIZ-UHFFFAOYSA-N,JVSWJIKNEAIKJW-UHFFFAOYSA-N,DTXSID3042219|,DTXSID80176373|,DTXSID4061466|,DTXSID10862873|,DTXSID2060460|,0.6,1.11,0.48,0.78,0.48,0.61,0.59,0.57,0.52,0.61,4.47018766453766,3.36804242257272,0,1,-0.486413559999992,0.239426596523317
DTXSID9059204,NaN,0.66,[0.48:0.89],1,0.446,0.647,103-65-1|,21964-49-8|,1074-17-5|,622-96-8|,620-14-4|,ODLMAHJVESYWTB-UHFFFAOYSA-N,XMRSTLBCBDIKFI-UHFFFAOYSA-N,YQZBFMJOASEONC-UHFFFAOYSA-N,JRLPEMVDPFPYPJ-UHFFFAOYSA-N,ZLCSFXXPPANWQY-UHFFFAOYSA-N,DTXSID3042219|,DTXSID80176373|,DTXSID4061466|,DTXSID9029194|,DTXSID6050386|,0.6,1.11,0.48,0.6,0.48,0.61,0.59,0.57,0.62,0.58,4.73546853399547,3.23909791798879,0,1,-0.397758540666662,0.250423693268381
DTXSID4059205,NaN,0.55,[0.49:0.6],0,0.384,0.748,103-65-1|,1074-17-5|,620-14-4|,622-96-8|,611-14-3|,ODLMAHJVESYWTB-UHFFFAOYSA-N,YQZBFMJOASEONC-UHFFFAOYSA-N,ZLCSFXXPPANWQY-UHFFFAOYSA-N,JRLPEMVDPFPYPJ-UHFFFAOYSA-N,HYFLWBNQFMXCPA-UHFFFAOYSA-N,DTXSID3042219|,DTXSID4061466|,DTXSID6050386|,DTXSID9029194|,DTXSID2050403|,0.6,0.48,0.48,0.6,0.6,0.61,0.57,0.58,0.62,0.54,4.07668847749821,3.36609132911919,0,1,-0.100431209052624,0.194024472850711
DTXSID80889259,NaN,0.55,[0.49:0.6],1,0.56,0.804,1074-17-5|,620-14-4|,103-65-1|,611-14-3|,874-41-9|,YQZBFMJOASEONC-UHFFFAOYSA-N,ZLCSFXXPPANWQY-UHFFFAOYSA-N,ODLMAHJVESYWTB-UHFFFAOYSA-N,HYFLWBNQFMXCPA-UHFFFAOYSA-N,MEMBJMDZWKVOTB-UHFFFAOYSA-N,DTXSID4061466|,DTXSID6050386|,DTXSID3042219|,DTXSID2050403|,DTXSID0061246|,0.48,0.48,0.6,0.6,0.6,0.57,0.58,0.61,0.54,0.54,5.17079960484662,3.35764392601285,0,0,0.0954145423323728,0.234708048410644
DTXSID7030698,NaN,2.37,[2.15:2.55],0,0.194,0.576,189-55-9|,193-39-5|,2381-21-7|,50-32-8|,207-08-9|,TUGYIJVAYAHHHM-UHFFFAOYSA-N,SXQBHARYMNFBPS-UHFFFAOYSA-N,KBSPJIWZDWBDGM-UHFFFAOYSA-N,FMMWHPNWAFZXNH-UHFFFAOYSA-N,HAXBIWFMXWRORI-UHFFFAOYSA-N,DTXSID9059751|,DTXSID8024153|,DTXSID0025654|,DTXSID2020139|,DTXSID0023909|,2.47,2.52,1.96,2.35,2.55,2.66,2.65,2.13,2.17,2.19,4.56884572029111,3.40398944648526,0,6,0.663030471195926,3.96143568962978
DTXSID2026652,NaN,0.9,[0.62:1.18],1,0.725,0.712,583-57-3|,526-73-8|,95-63-6|,95-47-6|,108-38-3|,KVZJLSYJROEPSQ-UHFFFAOYSA-N,FYGHSUNMUKGBRK-UHFFFAOYSA-N,GWHJZXXIDMPWGX-UHFFFAOYSA-N,CTQNGGLPUBDAKN-UHFFFAOYSA-N,IVSZLXZYQVIEFR-UHFFFAOYSA-N,DTXSID50858730|,DTXSID8047769|,DTXSID6021402|,DTXSID3021807|,DTXSID6026298|,1.26,0.6,0.6,0.78,1,0.82,0.81,0.69,0.73,0.82,6.14929908599411,2.47290559532006,0,1,1.73749903353837e-14,0.508594474354403
