MoleculeID,FUB_exp,FUB_pred,FUB_predRange,AD_FUB,AD_index_FUB,Conf_index_FUB,FUB_CAS_neighbor_1,FUB_CAS_neighbor_2,FUB_CAS_neighbor_3,FUB_CAS_neighbor_4,FUB_CAS_neighbor_5,FUB_InChiKey_neighbor_1,FUB_InChiKey_neighbor_2,FUB_InChiKey_neighbor_3,FUB_InChiKey_neighbor_4,FUB_InChiKey_neighbor_5,FUB_DTXSID_neighbor_1,FUB_DTXSID_neighbor_2,FUB_DTXSID_neighbor_3,FUB_DTXSID_neighbor_4,FUB_DTXSID_neighbor_5,FUB_Exp_neighbor_1,FUB_Exp_neighbor_2,FUB_Exp_neighbor_3,FUB_Exp_neighbor_4,FUB_Exp_neighbor_5,FUB_pred_neighbor_1,FUB_pred_neighbor_2,FUB_pred_neighbor_3,FUB_pred_neighbor_4,FUB_pred_neighbor_5,XLogP,CrippenLogP,nBase,ALogP,AATS2e,AATS1i,AATS4v,nAromBond,ATSC0m,nwHBa,nHBAcc,ATS5p,SpMax2_Bhv,AATS5p,piPC5,ETA_BetaP_ns,R_TpiPCTPC,nHBint3,naaN,ETA_Beta,nN,SpMax3_Bhv,ATSm5,nF8Ring
DTXSID5020281,NaN,0.2,[0.08:0.32],1,0.397,0.618,98-95-3,99-08-1,100-02-7|824-78-2|,99-99-0,121-14-2,LQNUZADURLCDLV-UHFFFAOYSA-N,QZYHIOPPLUPUJF-UHFFFAOYSA-N,BTJIUGUIPKRLHP-UHFFFAOYSA-N,ZPTVNYMJQHSSEA-UHFFFAOYSA-N,RMBFBMJGBANMMK-UHFFFAOYSA-N,DTXSID3020964,DTXSID5021831,DTXSID0021834| DTXSID3027320,DTXSID5023792,DTXSID0020529,0.38,0.08,0.15,0.27,0.1,0.22,0.28,0.26,0.21,0.19,2.536,2.66909,0,3.213,8.20141828571429,148.484732765757,163.367367602759,6,1061.41583235714,6,0,8.104977753698,3.01549590458404,0.900553083744222,4.54129810939368,0.95,3.90860215053763,0,0,15.5,1,2.64581503189868,9.4463204811488,0
DTXSID8020961,NaN,0.33,[0.23:0.43],1,0.395,0.648,100-02-7|824-78-2|,99-59-2,95-83-0,65-49-6,89-57-6,BTJIUGUIPKRLHP-UHFFFAOYSA-N,NIPDVSLAMPAWTP-UHFFFAOYSA-N,BXIXXXYDDJVHDL-UHFFFAOYSA-N,WUBBRNOQWQTFEX-UHFFFAOYSA-N,KBOPZPXVLCULAV-UHFFFAOYSA-N,DTXSID0021834| DTXSID3027320,DTXSID0020943,DTXSID5020283,DTXSID2022591,DTXSID5024506,0.15,0.34,0.37,0.38,0.43,0.26,0.25,0.42,0.5,0.47,1.097,1.59789,0,1.7198,7.98501083333333,155.731715104638,129.759049650768,6,583.58471775,6,1,10.922517993094,3.02005832388514,0.728167866206267,4.54129810939368,0.95,3.90860215053763,0,0,15.5,2,2.64581503189869,7.66073177489115,0
DTXSID0021834,NaN,0.15,[0.14:0.16],1,0.998,0.959,100-02-7|824-78-2|,98-95-3,99-99-0,99-08-1,121-14-2,BTJIUGUIPKRLHP-UHFFFAOYSA-N,LQNUZADURLCDLV-UHFFFAOYSA-N,ZPTVNYMJQHSSEA-UHFFFAOYSA-N,QZYHIOPPLUPUJF-UHFFFAOYSA-N,RMBFBMJGBANMMK-UHFFFAOYSA-N,DTXSID0021834| DTXSID3027320,DTXSID3020964,DTXSID5023792,DTXSID5021831,DTXSID0020529,0.15,0.38,0.27,0.08,0.1,0.26,0.22,0.21,0.28,0.19,1.508,1.72129,0,2.2812,8.19684018181819,151.419630649517,138.059445875502,6,544.658958,6,0,8.591947873396,2.99487809883509,0.715995656116334,4.54129810939368,0.95,3.90860215053763,0,0,15.5,1,2.64581503189868,7.82664181884327,0
DTXSID3032622,NaN,0.93,[0.89:0.97],1,0.262,0.67,60-56-0,7554-65-6,123-91-1,872-50-4,127-48-0,IVAWMVACECMAGC-UHFFFAOYSA-N,RIKMMFOAQPJVMX-UHFFFAOYSA-N,RYHBNJHYFVUHQT-UHFFFAOYSA-N,SECXISVLQFMRJM-UHFFFAOYSA-N,IRYJRGCIQBGHIV-UHFFFAOYSA-N,DTXSID4020820,DTXSID3040649,DTXSID4020533,DTXSID6020856,DTXSID9021396,0.9,1,0.94,0.89,0.93,0.9,0.72,0.93,0.9,0.94,0.00799999999999995,-0.30052,0,0.9298,8.25059178947369,154.898789424408,95.5757891652907,5,472.049694916667,3,1,2.938142672547,2.76187447378757,0.4896904454245,2.63905732961526,0.42857,1.74468085106383,0,0,7.5,1,1.99973106170139,1.33209197713256,0
DTXSID2044347,NaN,0.15,[0.04:0.26],1,0.454,0.644,120-47-8,119-36-8,98-86-2,2634-33-5,97-53-0,NUVBSKCKDOMJSU-UHFFFAOYSA-N,OSWPMRLSEDHDFF-UHFFFAOYSA-N,KWOLFJPFCHCOCG-UHFFFAOYSA-N,DMSMPAJRVJJAGA-UHFFFAOYSA-N,RRAFCDWBNXTKKO-UHFFFAOYSA-N,DTXSID9022528,DTXSID5025659,DTXSID6021828,DTXSID5032523,DTXSID9020617,0.11,0.11,0.33,0,0.19,0.12,0.2,0.18,0.25,0.09,1.814,1.86619,0,1.5535,7.72232164705883,143.124300528286,165.005571846924,6,746.515096285714,7,1,33.367305599886,3.21045765884972,0.926869599996834,4.6107794247526,0.72727,3.86662946428571,0,0,14.25,0,2.78489316417614,8.9962759313977,0
DTXSID9059204,NaN,0.12,[0.02:0.22],1,0.452,0.673,119-36-8,120-47-8,99-76-3,94-74-6,121-33-5,OSWPMRLSEDHDFF-UHFFFAOYSA-N,NUVBSKCKDOMJSU-UHFFFAOYSA-N,LXCFILQKKLGQFO-UHFFFAOYSA-N,WHKUVVPPKQRRBV-UHFFFAOYSA-N,MWOOGOJBHIARFG-UHFFFAOYSA-N,DTXSID5025659,DTXSID9022528,DTXSID4022529,DTXSID4024195,DTXSID0021969,0.11,0.11,0.07,0.02,0.32,0.2,0.12,0.22,0.06,0.28,2.21,2.04259,0,2.1566,8.06129457142857,142.525984219683,178.319596528618,6,1313.10667,7,1,25.550191170792,3.12892664342736,1.064591298783,4.6107794247526,0.72727,3.86662946428571,0,0,14.5,0,2.731067114849,12.8998172102739,0
DTXSID4059205,NaN,0.25,[0.07:0.45],1,0.571,0.547,119-36-8,121-33-5,69-72-7,99-76-3,99-96-7,OSWPMRLSEDHDFF-UHFFFAOYSA-N,MWOOGOJBHIARFG-UHFFFAOYSA-N,YGSDEFSMJLZEOE-UHFFFAOYSA-N,LXCFILQKKLGQFO-UHFFFAOYSA-N,FJKROLUGYXJWQN-UHFFFAOYSA-N,DTXSID5025659,DTXSID0021969,DTXSID7026368,DTXSID4022529,DTXSID3026647,0.11,0.32,0.15,0.07,0.65,0.2,0.28,0.52,0.22,0.34,1.552,1.36179,0,1.5547,8.06825793103448,145.156627209287,161.694792192814,6,711.760314526316,7,2,24.52756409249,3.09921941632584,0.875984431874642,4.6107794247526,0.72727,3.86662946428571,0,0,14.5,0,2.72030968493172,9.66045988566282,0
DTXSID80889259,NaN,0.72,[0.46:0.98],1,0.351,0.39,60-32-2,60142-96-3,7378-99-6,111-76-2,924-16-3,SLXKOJJOQWFEFD-UHFFFAOYSA-N,UGJMXCAKCUNAIE-UHFFFAOYSA-N,UQKAOOAFEFCDGT-UHFFFAOYSA-N,POAOYUHQDCAZBD-UHFFFAOYSA-N,YGJHZCLPZAZIHH-UHFFFAOYSA-N,DTXSID0020070,DTXSID0020074,DTXSID2036299,DTXSID1024097,DTXSID2021026,0.92,0.98,0.56,0.83,0.26,0.93,0.6,0.13,0.71,0.44,1.499,1.2748,1,-2.3604,7.32532230769231,151.249623149648,102.405223316202,0,898.120147241378,0,2,52.6269365900171,3.29422299273768,0.809645178307955,1.79175946922805,0,1,2,0,5,1,2.92420062250551,7.83036588744558,0
DTXSID7030698,NaN,0.93,[0.87:0.99],0,0.095,0.575,56180-94-0,37517-28-5,58152-03-7,59-01-8,50-56-6,XUFXOAAUWZOOIT-UHFFFAOYSA-N,LKCWBDHBTVXHDL-UHFFFAOYSA-N,UDIIBEDMEYAVNG-UHFFFAOYSA-N,SBUJHOSQTJFQJX-UHFFFAOYSA-N,XNOPRXBHLZRZKH-UHFFFAOYSA-N,DTXSID8046034,DTXSID3022586,DTXSID1048380,DTXSID3023184,DTXSID8048361,0.85,0.9,0.95,0.99,1,0.94,0.95,0.91,0.91,0.57,-11.796,-13.0548,0,-10.4814,8.56346809756096,151.58117015608,160.068117030931,0,5422.16826000001,0,30,500.383435415319,3.66583719532858,1.05566125615046,5.62401750618734,0,1,36,0,46.5,0,3.66583719532855,180.497879206528,0
DTXSID2026652,NaN,0.02,[0:0.04],1,0.567,0.826,99-62-7,96-70-8,2078-54-8,80-46-6,2409-55-4,UNEATYXSUBPPKP-UHFFFAOYSA-N,LZHCVNIARUXHAL-UHFFFAOYSA-N,OLBCVFGFOZPWHH-UHFFFAOYSA-N,NRZWYNLTFLDQQX-UHFFFAOYSA-N,IKEHOXWJQXIQAG-UHFFFAOYSA-N,DTXSID8026640,DTXSID4044581,DTXSID6023523,DTXSID8021771,DTXSID2020212,0.01,0.05,0.02,0,0.03,0.02,0.02,0.02,0.06,0.05,4.832,3.9334,0,2.6642,7.15422696296296,142.59127106374,128.584487232544,6,871.6752648,6,0,65.1433936854701,3.39234753341916,0.944107154861885,4.6107794247526,0.5,3.33948863636364,0,0,12,0,3.07951106354531,10,0
