MoleculeID,LogHL_exp,LogHL_pred,HL_predRange,AD_HL,AD_index_HL,Conf_index_HL,HL_CAS_neighbor_1,HL_CAS_neighbor_2,HL_CAS_neighbor_3,HL_CAS_neighbor_4,HL_CAS_neighbor_5,HL_InChiKey_neighbor_1,HL_InChiKey_neighbor_2,HL_InChiKey_neighbor_3,HL_InChiKey_neighbor_4,HL_InChiKey_neighbor_5,HL_DTXSID_neighbor_1,HL_DTXSID_neighbor_2,HL_DTXSID_neighbor_3,HL_DTXSID_neighbor_4,HL_DTXSID_neighbor_5,LogHL_Exp_neighbor_1,LogHL_Exp_neighbor_2,LogHL_Exp_neighbor_3,LogHL_Exp_neighbor_4,LogHL_Exp_neighbor_5,LogHL_pred_neighbor_1,LogHL_pred_neighbor_2,LogHL_pred_neighbor_3,LogHL_pred_neighbor_4,LogHL_pred_neighbor_5,nHBDon,MLFER_S,GATS1e,ndssC,ATS3m,nHBint6,nHBAcc2,AATSC0i,SpAD_Dzm
DTXSID5020281,-5.31,-5.31,[-5.36:-5.26],1,1,0.923,100-00-5,121-73-3,88-73-3,585-79-5,88-72-2,CZGCEKJOLUNIFY-UHFFFAOYSA-N,KMAQZIILEGKYQZ-UHFFFAOYSA-N,BFCFYVKQTRLZHA-UHFFFAOYSA-N,FWIROFMBWVMWLB-UHFFFAOYSA-N,PLAZTCDQAHEYBI-UHFFFAOYSA-N,DTXSID5020281,DTXSID4021971,DTXSID0020280,DTXSID3060409,DTXSID4025791,-5.31,-4.87,-5.03,-5.74,-4.9,-5.04,-5.21,-5.15,-5.02,-5.05,0,0.9,0.280093805571015,0,2588.098517,0,2,1.47849482566806,31.9302113063708
DTXSID8020961,-8.9,-8.9,[-8.97:-8.83],1,1,0.82,100-01-6,121-87-9,2581-34-2,100-02-7,99-30-9,TYMLOMAKGOJONV-UHFFFAOYSA-N,LOCWBQIWHWIRGN-UHFFFAOYSA-N,PIIZYNQECPTVEO-UHFFFAOYSA-N,BTJIUGUIPKRLHP-UHFFFAOYSA-N,BIXZHMJUSMUDOQ-UHFFFAOYSA-N,DTXSID8020961,DTXSID4021973,DTXSID2062535,DTXSID0021834,DTXSID2020426,-8.9,-8.02,-7.79,-9.38,-7.08,-7.84,-7.91,-8.27,-7.67,-7.97,1,1.201,0.386766034916297,0,2078.194035,1,3,1.58592393241148,34.1425275955247
DTXSID0021834,-9.38,-9.37,[-9.38:-9.23],1,1,0.773,100-02-7,2581-34-2,121-87-9,100-01-6,3011-34-5,BTJIUGUIPKRLHP-UHFFFAOYSA-N,PIIZYNQECPTVEO-UHFFFAOYSA-N,LOCWBQIWHWIRGN-UHFFFAOYSA-N,TYMLOMAKGOJONV-UHFFFAOYSA-N,YTHJCZRFJGXPTL-UHFFFAOYSA-N,DTXSID0021834,DTXSID2062535,DTXSID4021973,DTXSID8020961,DTXSID80184195,-9.38,-7.79,-8.02,-8.9,-5.98,-7.67,-8.27,-7.91,-7.84,-7.9,1,1.065,0.51764270607723,0,2105.847555,1,3,1.49011639933755,33.6752499648641
DTXSID3032622,-8.86,-8.86,[-8.93:-8.79],1,1,0.889,10004-44-1,85-41-6,16752-77-5,127-17-3,79-41-4,KGVPNLBXJKTABS-UHFFFAOYSA-N,XKJCHHZQLQNZHY-UHFFFAOYSA-N,UHXUZOCRWCRNSJ-UHFFFAOYSA-N,LCTONWCANYUPML-UHFFFAOYSA-N,CERQOIWHTDAKMF-UHFFFAOYSA-N,DTXSID3032622,DTXSID3026514,DTXSID1022267,DTXSID2021650,DTXSID3025542,-8.86,-7.96,-10.2,-8.49,-6.41,-8.42,-8.97,-8.59,-8.23,-7.92,1,0.909,0.647686382461316,2,944.157724,0,3,1.40792090060219,17.6556744952534
DTXSID2044347,NaN,-6.19,[-8.55:-3.99],1,0.778,0.407,759-94-4,93-89-0,140-11-4,93-71-0,93-58-3,GUVLYNGULCJVDO-UHFFFAOYSA-N,MTZQAGJQAFMTAQ-UHFFFAOYSA-N,QUKGYYKBILRGFE-UHFFFAOYSA-N,MDBGGTQNNUOQRC-UHFFFAOYSA-N,QPJVMBTYPHYUOC-UHFFFAOYSA-N,DTXSID1024091,DTXSID3038696,DTXSID0020151,DTXSID2041591,DTXSID5025572,-10.31,-3.99,-4.96,-6.97,-4.48,-5.11,-6.1,-5.72,-6.18,-6.17,0,1.185,0.685665913650199,1,2343.413541,0,2,1.34261125118909,45.1883735201283
DTXSID9059204,NaN,-6.51,[-8.61:-4.51],1,0.751,0.431,93-71-0,2905-69-3,759-94-4,2212-67-1,1929-77-7,MDBGGTQNNUOQRC-UHFFFAOYSA-N,SPJQBGGHUDNAIC-UHFFFAOYSA-N,GUVLYNGULCJVDO-UHFFFAOYSA-N,DEDOPGXGGQYYMW-UHFFFAOYSA-N,OKUGPJPKMAEJOE-UHFFFAOYSA-N,DTXSID2041591,DTXSID7022201,DTXSID1024091,DTXSID6024206,DTXSID7024376,-6.97,-4.79,-10.31,-5.39,-4.51,-6.18,-6.47,-5.11,-6.67,-5.7,0,1.342,0.672413188320398,1,2821.762959,0,2,1.30261613304387,42.3842337002926
DTXSID4059205,NaN,-8.28,[-9:-7.51],1,0.597,0.622,94-75-7,120-36-5|15165-67-0,29973-13-5,93-76-5,116-06-3,OVSKIKFHRZPJSS-UHFFFAOYSA-N,MZHCENGPTKEIGP-UHFFFAOYSA-N,HEZNVIYQEUHLNI-UHFFFAOYSA-N,SMYMJHWAQXWPDB-UHFFFAOYSA-N,QGLZXHRNAYXIBU-UHFFFAOYSA-N,DTXSID0020442,DTXSID0020440|DTXSID0034851,DTXSID3037545,DTXSID5021388,DTXSID0039223,-7.47,-9,-8.93,-7.24,-8.83,-8.13,-7.61,-8.35,-8.13,-8.56,1,1.095,0.85430350547708,1,2382.745117,1,3,1.33880132960529,44.1019044806025
DTXSID80889259,NaN,-8.7,[-9.18:-8.22],1,0.616,0.703,2935-44-6,6920-22-5,5343-92-0,625-69-4,42822-86-6,OHMBHFSEKCCCBW-UHFFFAOYSA-N,FHKSXSQHXQEMOK-UHFFFAOYSA-N,WCVRQHFDJLLWFE-UHFFFAOYSA-N,GTCCGKPBSJZVRZ-UHFFFAOYSA-N,LMXFTMYMHGYJEI-UHFFFAOYSA-N,DTXSID50871000,DTXSID40863959,DTXSID10863522,DTXSID9032878,DTXSID0035744,-9.15,-8.24,-8.15,-8.59,-9.37,-8.46,-8.84,-8.75,-8.47,-9.18,2,0.452,1.17102872503179,0,2124.40913,0,2,1.16369181799359,55.7062499684441
DTXSID7030698,NaN,-11.59,[-15.44:-7.74],0,0.012,0.1,2781-11-5,1071-83-6,208465-21-8,6334-25-4,173159-57-4,CCJKFLLIJCGHMO-UHFFFAOYSA-N,XDDAORKBJWWYJS-UHFFFAOYSA-N,NIFKBBMCXCMCAO-UHFFFAOYSA-N,OKRNLSUTBJUVKA-UHFFFAOYSA-N,PXDNXJSDGQBLKS-UHFFFAOYSA-N,DTXSID2029242,DTXSID1024122,DTXSID6034712,DTXSID40212726,DTXSID7034753,-6.8,-11.26,-16,-8.1,-16,-11.64,-9.18,-10.69,-9.73,-9.65,18,6.325,1.12270578358298,0,29333.4532260001,42,30,1.12200348050882,1015.05854138462
DTXSID2026652,NaN,-1.82,[-1.97:-1.67],1,0.786,0.842,2049-95-8,538-68-1,1077-16-3,104-51-8,105-05-5,QHTJSSMHBLGUHV-UHFFFAOYSA-N,PWATWSYOIIXYMA-UHFFFAOYSA-N,LTEQMZWBSYACLV-UHFFFAOYSA-N,OCKPCBLVNKHBMX-UHFFFAOYSA-N,DSNHSQKRULAAEI-UHFFFAOYSA-N,DTXSID7051848,DTXSID6022054,DTXSID8061476,DTXSID6022472,DTXSID4026711,-1.74,-1.79,-1.67,-1.88,-2.15,-1.98,-1.78,-2.16,-1.97,-1.99,0,0.451,1.20833333333333,0,2662.470231,0,0,1.31205904522776,59.7331384683807
