MoleculeID,LogKM_exp,LogKM_pred,KM_predRange,AD_KM,AD_index_KM,Conf_index_KM,KM_CAS_neighbor_1,KM_CAS_neighbor_2,KM_CAS_neighbor_3,KM_CAS_neighbor_4,KM_CAS_neighbor_5,KM_InChiKey_neighbor_1,KM_InChiKey_neighbor_2,KM_InChiKey_neighbor_3,KM_InChiKey_neighbor_4,KM_InChiKey_neighbor_5,KM_DTXSID_neighbor_1,KM_DTXSID_neighbor_2,KM_DTXSID_neighbor_3,KM_DTXSID_neighbor_4,KM_DTXSID_neighbor_5,LogKM_Exp_neighbor_1,LogKM_Exp_neighbor_2,LogKM_Exp_neighbor_3,LogKM_Exp_neighbor_4,LogKM_Exp_neighbor_5,LogKM_pred_neighbor_1,LogKM_pred_neighbor_2,LogKM_pred_neighbor_3,LogKM_pred_neighbor_4,LogKM_pred_neighbor_5,MAXDP,nCl,nHBDon,nHBa,SpMax_Dt,SaasC,ATS5e,VAdjMat,nF9HeteroRing,GATS8c,GATS1v,SpMax_Dzv
DTXSID5020281,-0.48,-0.48,[-0.53:-0.43],1,1,0.9,100-00-5,88-73-3,104-88-1,89-61-2,611-06-3,CZGCEKJOLUNIFY-UHFFFAOYSA-N,BFCFYVKQTRLZHA-UHFFFAOYSA-N,AVPYQKSLYISFPO-UHFFFAOYSA-N,RZKKOBGFCAHLCZ-UHFFFAOYSA-N,QUIMTLZDMCNYGY-UHFFFAOYSA-N,DTXSID5020281,DTXSID0020280,DTXSID2021860,DTXSID7052602,DTXSID3024998,-0.48,-0.58,0.01,0.56,0.83,-0.13,-0.08,-0.69,0.5,0.4,3.13113504661124,1,0,2,41.385547609247,1.36679012345679,82.488518,4.32192809488736,0,0,0.72313760198917,22.9748215416711
DTXSID8020961,-0.51,-0.51,[-0.55:-0.47],1,1,0.939,100-01-6,99-09-2,88-74-4,554-84-7,5428-54-6,TYMLOMAKGOJONV-UHFFFAOYSA-N,XJCVRTZCHMZPBD-UHFFFAOYSA-N,DPJCXCZTLWNFOH-UHFFFAOYSA-N,RTZZCYNQPHTPPL-UHFFFAOYSA-N,UMFDLIXUUJMPSI-UHFFFAOYSA-N,DTXSID8020961,DTXSID6025725,DTXSID1025726,DTXSID2025765,DTXSID4063874,-0.51,-0.77,-0.46,-0.49,-1.24,-0.69,-0.57,-0.7,-0.68,-0.66,3.07696523053666,0,1,2,41.385547609247,0.597037037037038,122.700124,4.32192809488736,0,0,0.784051311699989,23.7737760314785
DTXSID0021834,NaN,-0.6,[-0.81:-0.46],1,0.876,0.835,554-84-7,99-09-2,100-01-6,88-74-4,5428-54-6,RTZZCYNQPHTPPL-UHFFFAOYSA-N,XJCVRTZCHMZPBD-UHFFFAOYSA-N,TYMLOMAKGOJONV-UHFFFAOYSA-N,DPJCXCZTLWNFOH-UHFFFAOYSA-N,UMFDLIXUUJMPSI-UHFFFAOYSA-N,DTXSID2025765,DTXSID6025725,DTXSID8020961,DTXSID1025726,DTXSID4063874,-0.49,-0.77,-0.51,-0.46,-1.24,-0.68,-0.57,-0.69,-0.7,-0.66,3.03614890400605,0,1,2,41.385547609247,0.0170370370370378,103.614804,4.32192809488736,0,0,0.788169942966406,23.9354592316025
DTXSID3032622,NaN,-0.54,[-0.67:-0.41],1,0.478,0.731,95-48-7,98-10-2,95-57-8,108-43-0,106-48-9,QWVGKYWNOKOFNN-UHFFFAOYSA-N,KHBQMWCZKVMBLN-UHFFFAOYSA-N,ISPYQTSUDJAMAB-UHFFFAOYSA-N,HORNXRXVQWOLPJ-UHFFFAOYSA-N,WXNZTHHGJRFXKQ-UHFFFAOYSA-N,DTXSID8021808,DTXSID1059159,DTXSID5021544,DTXSID4024800,DTXSID1021871,-0.52,-0.71,-0.38,-0.68,-0.41,-0.78,-0.68,-0.63,-0.48,-0.63,3.14097222222222,0,1,3,22.4726680930074,0,48.568896,3.8073549220576,0,0,0.969326071351051,12.654607263084
DTXSID2044347,NaN,-0.55,[-0.95:-0.01],1,0.413,0.559,100-17-4,298-04-4,105-06-6,2497-06-5,86-30-6,BNUHAJGCKIQFGE-UHFFFAOYSA-N,DOFZAZXDOSGAJZ-UHFFFAOYSA-N,WEERVPDNCOGWJF-UHFFFAOYSA-N,BKVJOVPVLOJPKJ-UHFFFAOYSA-N,UBUCNCOMADRQHX-UHFFFAOYSA-N,DTXSID9059208,DTXSID0022018,DTXSID2033863,DTXSID8041901,DTXSID6021030,-0.95,0.03,0.5,-0.67,-0.91,-0.48,0.02,0.18,-0.44,-0.43,3.8041832010582,0,0,2,47.6419660036705,1.48685185185185,262.031744,4.4594316186373,0,1.51785417876434,1.04415483167213,27.1435410796403
DTXSID9059204,NaN,-0.5,[-0.95:0.06],1,0.353,0.536,100-17-4,298-04-4,105-06-6,2497-06-5,86-30-6,BNUHAJGCKIQFGE-UHFFFAOYSA-N,DOFZAZXDOSGAJZ-UHFFFAOYSA-N,WEERVPDNCOGWJF-UHFFFAOYSA-N,BKVJOVPVLOJPKJ-UHFFFAOYSA-N,UBUCNCOMADRQHX-UHFFFAOYSA-N,DTXSID9059208,DTXSID0022018,DTXSID2033863,DTXSID8041901,DTXSID6021030,-0.95,0.03,0.5,-0.67,-0.91,-0.48,0.02,0.18,-0.44,-0.43,3.87688553301979,1,0,3,47.6419660036705,1.57772976680384,184.796138,4.4594316186373,0,1.66866535179316,0.868576008877522,26.9787682565905
DTXSID4059205,NaN,-0.85,[-1.08:-0.62],1,0.436,0.668,62-44-2,98-54-4,101-53-1,156-43-4,92-69-3,CPJSUEIXXCENMM-UHFFFAOYSA-N,QHPQWRBYOIRBIT-UHFFFAOYSA-N,HJSPWKGEPDZNLK-UHFFFAOYSA-N,IMPPGHMHELILKG-UHFFFAOYSA-N,YXVFYQXJAXKLAK-UHFFFAOYSA-N,DTXSID1021116,DTXSID1020221,DTXSID9047962,DTXSID0025864,DTXSID7021152,-0.55,-0.87,-0.86,-1.24,-0.81,-0.8,-0.77,-0.72,-0.62,-0.85,3.35973875661376,0,1,3,47.6419660036704,0.931296296296297,213.8878,4.4594316186373,0,2.12543026741667,0.938306451540527,27.9541371556423
DTXSID80889259,NaN,-1.18,[-1.34:-0.93],1,0.497,0.672,144-19-4,88-98-2,122-34-9,1912-24-9,1490-04-6,JCTXKRPTIMZBJT-UHFFFAOYSA-N,ILUAAIDVFMVTAU-UHFFFAOYSA-N,ODCWYMIRDDJXKW-UHFFFAOYSA-N,MXWJVTOOROXGIU-UHFFFAOYSA-N,NOOLISFMXDJSKH-UHFFFAOYSA-N,DTXSID8027113,DTXSID80861676,DTXSID4021268,DTXSID9020112,DTXSID8029650,-1.34,-0.57,-0.94,-1.05,-1.19,-1.01,-1.05,-0.91,-0.86,-0.54,3.3237962962963,0,2,2,28.5433741710951,0,469.401644,4.32192809488736,0,0.160188343979423,1.49815244823928,29.7880462802423
DTXSID7030698,NaN,-0.63,[-1.13:-0.13],0,0.022,0.375,16958-92-2,91-96-3,5124-25-4,119-47-1,83-79-4,LZJUZSYHFSVIGJ-UHFFFAOYSA-N,CRRLDLPBQWRVGN-UHFFFAOYSA-N,BBFRYSKTTHYWQZ-UHFFFAOYSA-N,KGRVJHAUYBGFFP-UHFFFAOYSA-N,JUVIOZPCNVVQFO-UHFFFAOYSA-N,DTXSID9027786,DTXSID5059034,DTXSID8052148,DTXSID4020870,DTXSID6021248,-0.43,-1.5,-0.66,0.03,-0.59,0.83,-0.49,-0.73,-0.24,0.6,5.21679918520496,0,18,30,1737.44527278572,0,3996.740232,7.04439411935845,0,0.984234115081489,1.09847514392721,681.934436385765
DTXSID2026652,0.6,0.6,[0.58:0.62],1,1,0.952,100-18-5,105-06-6,22907-72-8,5707-44-8,105-05-5,SPPWGCYEYAMHDT-UHFFFAOYSA-N,WEERVPDNCOGWJF-UHFFFAOYSA-N,GMUJGUXGVJZHSK-UHFFFAOYSA-N,SRQOBNUBCLPPPH-UHFFFAOYSA-N,DSNHSQKRULAAEI-UHFFFAOYSA-N,DTXSID2026652,DTXSID2033863,DTXSID70177450,DTXSID7073355,DTXSID4026711,0.6,0.5,0.97,0.06,-0.01,0.45,0.18,0.69,0.7,0.44,0.236111111111111,0,0,0,53.1612944778831,2.86,481.255988,4.58496250072116,0,2.08055662180555,1.20833333333333,29.8665692341904
