MoleculeID,LogKOA_exp,LogKOA_pred,KOA_predRange,AD_KOA,AD_index_KOA,Conf_index_KOA,KOA_CAS_neighbor_1,KOA_CAS_neighbor_2,KOA_CAS_neighbor_3,KOA_CAS_neighbor_4,KOA_CAS_neighbor_5,KOA_InChiKey_neighbor_1,KOA_InChiKey_neighbor_2,KOA_InChiKey_neighbor_3,KOA_InChiKey_neighbor_4,KOA_InChiKey_neighbor_5,KOA_DTXSID_neighbor_1,KOA_DTXSID_neighbor_2,KOA_DTXSID_neighbor_3,KOA_DTXSID_neighbor_4,KOA_DTXSID_neighbor_5,LogKOA_Exp_neighbor_1,LogKOA_Exp_neighbor_2,LogKOA_Exp_neighbor_3,LogKOA_Exp_neighbor_4,LogKOA_Exp_neighbor_5,LogKOA_pred_neighbor_1,LogKOA_pred_neighbor_2,LogKOA_pred_neighbor_3,LogKOA_pred_neighbor_4,LogKOA_pred_neighbor_5,nHBDon,MLFER_L
DTXSID5020281,NaN,4.33,[4.17:4.47],1,0.948,0.889,67-72-1,106-46-7,541-73-1,95-50-1,103-65-1,VHHHONWQHHHLTI-UHFFFAOYSA-N,OCJBOOLMMGQPQU-UHFFFAOYSA-N,ZPQOPVIELGIULI-UHFFFAOYSA-N,RFFLAFLAYFXFSW-UHFFFAOYSA-N,ODLMAHJVESYWTB-UHFFFAOYSA-N,DTXSID7020689,DTXSID1020431,DTXSID6022056,DTXSID6020430,DTXSID3042219,4.47,4.46,4.12,4.36,4.09,4.57,4.44,4.54,4.5,4.67,0,4.765
DTXSID8020961,NaN,6.57,[4.87:8.27],1,0.83,0.546,99-76-3,111-87-5,108-93-0,111-27-3,142-84-7,LXCFILQKKLGQFO-UHFFFAOYSA-N,KBPLFHHGFOOTCA-UHFFFAOYSA-N,HPXRVTGHNJAIIH-UHFFFAOYSA-N,ZSIAUFGUXNUGDI-UHFFFAOYSA-N,WEHWNAOGRSTTBQ-UHFFFAOYSA-N,DTXSID4022529,DTXSID7021940,DTXSID4021894,DTXSID8021931,DTXSID2025185,8.57,6.03,5.18,5.18,3.59,5.88,5.65,4.54,4.48,4.65,1,5.045
DTXSID0021834,NaN,6.11,[4.68:7.54],1,0.857,0.607,111-87-5,99-76-3,108-93-0,111-27-3,142-84-7,KBPLFHHGFOOTCA-UHFFFAOYSA-N,LXCFILQKKLGQFO-UHFFFAOYSA-N,HPXRVTGHNJAIIH-UHFFFAOYSA-N,ZSIAUFGUXNUGDI-UHFFFAOYSA-N,WEHWNAOGRSTTBQ-UHFFFAOYSA-N,DTXSID7021940,DTXSID4022529,DTXSID4021894,DTXSID8021931,DTXSID2025185,6.03,8.57,5.18,5.18,3.59,5.65,5.88,4.54,4.48,4.65,1,4.768
DTXSID3032622,NaN,4.73,[4.1:5.18],1,0.95,0.775,111-27-3,108-93-0,142-84-7,110-89-4,71-41-0,ZSIAUFGUXNUGDI-UHFFFAOYSA-N,HPXRVTGHNJAIIH-UHFFFAOYSA-N,WEHWNAOGRSTTBQ-UHFFFAOYSA-N,NQRYJNQNLNOLGT-UHFFFAOYSA-N,AMQJEAYHLZJPGS-UHFFFAOYSA-N,DTXSID8021931,DTXSID4021894,DTXSID2025185,DTXSID6021165,DTXSID6021741,5.18,5.18,3.59,4.04,4.69,4.48,4.54,4.65,4.31,3.99,1,3.605
DTXSID2044347,NaN,5.07,[4.92:5.21],1,0.984,0.936,91-20-3,108-70-3,120-82-1,106-37-6,87-61-6,UFWIBTONFRDIAS-UHFFFAOYSA-N,XKEFYDZQGKAQCN-UHFFFAOYSA-N,PBKONEOXTCPAFI-UHFFFAOYSA-N,SWJPEBQEEAHIGZ-UHFFFAOYSA-N,RELMFMZEBKVZJC-UHFFFAOYSA-N,DTXSID8020913,DTXSID8026195,DTXSID0021965,DTXSID4024012,DTXSID8026193,5.19,4.85,4.95,5.21,5.19,5.13,5.08,5.05,5.18,4.98,0,5.375
DTXSID9059204,NaN,5.78,[5.41:6.15],1,0.952,0.838,87-85-4,90-13-1,634-66-2,106-37-6,634-90-2,YUWFEBAXEOLKSG-UHFFFAOYSA-N,JTPNRXUCIXHOKM-UHFFFAOYSA-N,GBDZXPJXOMHESU-UHFFFAOYSA-N,SWJPEBQEEAHIGZ-UHFFFAOYSA-N,QZYNWJQFTJXIRN-UHFFFAOYSA-N,DTXSID3058957,DTXSID2024791,DTXSID6026088,DTXSID4024012,DTXSID1026089,6.31,5.8,5.64,5.21,5.55,5.59,5.33,5.79,5.18,5.83,0,5.723
DTXSID4059205,NaN,7.45,[5.81:8.57],1,0.881,0.551,99-76-3,111-87-5,108-93-0,111-27-3,142-84-7,LXCFILQKKLGQFO-UHFFFAOYSA-N,KBPLFHHGFOOTCA-UHFFFAOYSA-N,HPXRVTGHNJAIIH-UHFFFAOYSA-N,ZSIAUFGUXNUGDI-UHFFFAOYSA-N,WEHWNAOGRSTTBQ-UHFFFAOYSA-N,DTXSID4022529,DTXSID7021940,DTXSID4021894,DTXSID8021931,DTXSID2025185,8.57,6.03,5.18,5.18,3.59,5.88,5.65,4.54,4.48,4.65,1,5.357
DTXSID80889259,NaN,7.63,[7.16:8.1],1,0.864,0.771,69-72-7,99-96-7,99-76-3,111-87-5,108-93-0,YGSDEFSMJLZEOE-UHFFFAOYSA-N,FJKROLUGYXJWQN-UHFFFAOYSA-N,LXCFILQKKLGQFO-UHFFFAOYSA-N,KBPLFHHGFOOTCA-UHFFFAOYSA-N,HPXRVTGHNJAIIH-UHFFFAOYSA-N,DTXSID7026368,DTXSID3026647,DTXSID4022529,DTXSID7021940,DTXSID4021894,7.44,8.08,8.57,6.03,5.18,7.81,7.26,5.88,5.65,4.54,2,5.109
DTXSID7030698,NaN,9.64,[7.91:11.37],0,0.02,0.304,99-96-7,69-72-7,629-96-9,112-92-5,36653-82-4,FJKROLUGYXJWQN-UHFFFAOYSA-N,YGSDEFSMJLZEOE-UHFFFAOYSA-N,BTFJIXJJCSYFAL-UHFFFAOYSA-N,GLDOVTGHNKAZLK-UHFFFAOYSA-N,BXWNKGSJHAJOGX-UHFFFAOYSA-N,DTXSID3026647,DTXSID7026368,DTXSID0027272,DTXSID8026935,DTXSID4027991,8.08,7.44,12.06,10.93,9.9,7.26,7.81,9.79,9.98,9.53,18,31.444
DTXSID2026652,NaN,5.18,[4.88:5.48],1,0.977,0.901,106-37-6,91-20-3,108-70-3,120-82-1,90-13-1,SWJPEBQEEAHIGZ-UHFFFAOYSA-N,UFWIBTONFRDIAS-UHFFFAOYSA-N,XKEFYDZQGKAQCN-UHFFFAOYSA-N,PBKONEOXTCPAFI-UHFFFAOYSA-N,JTPNRXUCIXHOKM-UHFFFAOYSA-N,DTXSID4024012,DTXSID8020913,DTXSID8026195,DTXSID0021965,DTXSID2024791,5.21,5.19,4.85,4.95,5.8,5.18,5.13,5.08,5.05,5.33,0,5.436
