MoleculeID,LogD55_pred,LogD55_predRange,LogD74_pred,LogD74_predRange,AD_LogD,AD_index_LogD,Conf_index_LogD,LogD_CAS_neighbor_1,LogD_CAS_neighbor_2,LogD_CAS_neighbor_3,LogD_CAS_neighbor_4,LogD_CAS_neighbor_5,LogD_InChiKey_neighbor_1,LogD_InChiKey_neighbor_2,LogD_InChiKey_neighbor_3,LogD_InChiKey_neighbor_4,LogD_InChiKey_neighbor_5,LogD_DTXSID_neighbor_1,LogD_DTXSID_neighbor_2,LogD_DTXSID_neighbor_3,LogD_DTXSID_neighbor_4,LogD_DTXSID_neighbor_5
DTXSID5020281,2.39,[2.39:2.41],2.39,[2.39:2.41],0,0.5,0.467,100-00-5,121-73-3,585-79-5,586-78-7,89-59-8,CZGCEKJOLUNIFY-UHFFFAOYSA-N,KMAQZIILEGKYQZ-UHFFFAOYSA-N,FWIROFMBWVMWLB-UHFFFAOYSA-N,ZDFBKZUDCQQKAC-UHFFFAOYSA-N,SQFLFRQWPBEDHM-UHFFFAOYSA-N,DTXSID5020281,DTXSID4021971,DTXSID3060409,DTXSID7060415,DTXSID4058994
DTXSID8020961,1.39,[1.34:1.44],1.39,[1.34:1.44],1,1,0.8305,100-01-6,99-09-2,75773-74-9,99-57-0,610-81-1,TYMLOMAKGOJONV-UHFFFAOYSA-N,XJCVRTZCHMZPBD-UHFFFAOYSA-N,LVRPDWZNGAHIDM-UHFFFAOYSA-N,VLZVIIYRNMWPSN-UHFFFAOYSA-N,IQXUIDYRTHQTET-UHFFFAOYSA-N,DTXSID8020961,DTXSID6025725,DTXSID80878880,DTXSID6020062,DTXSID50209864
DTXSID0021834,1.9,[-3.38:7.18],1.41,[-5.77:8.59],1,1,0.9655,100-02-7,554-84-7,2581-34-2,2042-14-0,5428-54-6,BTJIUGUIPKRLHP-UHFFFAOYSA-N,RTZZCYNQPHTPPL-UHFFFAOYSA-N,PIIZYNQECPTVEO-UHFFFAOYSA-N,BQEXDUKMTVYBRK-UHFFFAOYSA-N,UMFDLIXUUJMPSI-UHFFFAOYSA-N,DTXSID0021834,DTXSID2025765,DTXSID2062535,DTXSID90879085,DTXSID4063874
DTXSID3032622,0.45,[-3.94:4.84],0.25,[-6.04:6.54],1,0.756,0.697,10004-44-1,78-97-7,NOCAS_859699,306-44-5,822-89-9,KGVPNLBXJKTABS-UHFFFAOYSA-N,WOFDVDFSGLBFAC-UHFFFAOYSA-N,IADUEWIQBXOCDZ-UHFFFAOYSA-N,OVGLVOLWBBGQHS-UHFFFAOYSA-N,SNUSZUYTMHKCPM-UHFFFAOYSA-N,DTXSID3032622,DTXSID6025432,DTXSID80859699,DTXSID0073162,DTXSID70231622
DTXSID2044347,1.75,[1.74:1.79],1.75,[1.74:1.79],0,0.5,0.468,100-06-1,586-37-8,32723-67-4,10031-82-0,579-74-8,NTPLXRHDUXRPNE-UHFFFAOYSA-N,BAYUSCHCCGXLAY-UHFFFAOYSA-N,MYLBIQHZWFWSMH-UHFFFAOYSA-N,JRHHJNMASOIRDS-UHFFFAOYSA-N,DWPLEOPKBWNPQV-UHFFFAOYSA-N,DTXSID2044347,DTXSID10207321,DTXSID60186399,DTXSID7022251,DTXSID8060375
DTXSID9059204,2.33,[1.8:2.86],2.33,[1.8:2.86],0,0.343,0.3445,610-96-8,16766-30-6,1126-46-1,491-38-3,2905-65-9,JAVRNIFMYIJXIE-UHFFFAOYSA-N,FVZQMMMRFNURSH-UHFFFAOYSA-N,LXNFVVDCCWUUKC-UHFFFAOYSA-N,OTAFHZMPRISVEM-UHFFFAOYSA-N,XRDRKVPNHIWTBX-UHFFFAOYSA-N,DTXSID8044701,DTXSID0074974,DTXSID5022148,DTXSID40197680,DTXSID6027507
DTXSID4059205,0.78,[-4.61:6.17],-1.09,[-8.38:6.2],1,1,0.9695,100-09-4,586-38-9,579-75-9,119-36-8,99-76-3,ZEYHEAKUIGZSGI-UHFFFAOYSA-N,XHQZJYCNDZAGLW-UHFFFAOYSA-N,ILUJQPXNXACGAN-UHFFFAOYSA-N,OSWPMRLSEDHDFF-UHFFFAOYSA-N,LXCFILQKKLGQFO-UHFFFAOYSA-N,DTXSID4059205,DTXSID2060410,DTXSID3060376,DTXSID5025659,DTXSID4022529
DTXSID80889259,-2.81,[-2.9:-2.72],-0.91,[-1:-0.82],1,0.857,0.8675,1001354-72-8,15673-00-4,108-09-8,123-82-0,57224-50-7,AHZILZSKKSPIKM-UHFFFAOYSA-N,GPWHFPWZAPOYNO-UHFFFAOYSA-N,UNBMPKNTYKDYCG-UHFFFAOYSA-N,VSRBKQFNFZQRBM-UHFFFAOYSA-N,LPBSHGLDBQBSPI-UHFFFAOYSA-N,DTXSID80889259,DTXSID8075091,DTXSID4025113,DTXSID6048468,DTXSID50205846
DTXSID7030698,-1.12,[-4.56:2.32],-0.97,[-4.41:2.47],0,0.0705,0.3535,53784-84-2,585-88-6,547-25-1,99-20-7,57-50-1,ONWAJCGYJSVQSX-UHFFFAOYSA-N,VQHSOMBJVWLPSR-UHFFFAOYSA-N,RULSWEULPANCDV-UHFFFAOYSA-N,HDTRYLNUVZCQOY-UHFFFAOYSA-N,CZMRCDWAGMRECN-UHFFFAOYSA-N,DTXSID201021110,DTXSID0044444,DTXSID90876998,DTXSID3048102,DTXSID2021288
DTXSID2026652,5.23,[5.17:5.29],5.23,[5.17:5.29],0,0.5,0.451,100-18-5,99-62-7,2049-95-8,2855-27-8,92368-90-6,SPPWGCYEYAMHDT-UHFFFAOYSA-N,UNEATYXSUBPPKP-UHFFFAOYSA-N,QHTJSSMHBLGUHV-UHFFFAOYSA-N,KTRQRAQRHBLCSQ-UHFFFAOYSA-N,CGMOOAUESLSUKM-UHFFFAOYSA-N,DTXSID2026652,DTXSID8026640,DTXSID7051848,DTXSID80869516,DTXSID20869095
DTXSID6026080,-0.24,[-5.41:4.93],-2.14,[-9.21:4.93],1,0.7285,0.78,100-21-0,121-91-5,88-99-3,99-06-9,501-89-3,KKEYFWRCBNTPAC-UHFFFAOYSA-N,QQVIHTHCMHWDBS-UHFFFAOYSA-N,XNGIFLGASWRNHJ-UHFFFAOYSA-N,IJFXRHURBJZNAO-UHFFFAOYSA-N,DMEDOWYXHVUPMO-UHFFFAOYSA-N,DTXSID6026080,DTXSID3021485,DTXSID8021484,DTXSID6021610,DTXSID50277381
DTXSID0021836,1.47,[1.47:1.5],1.47,[1.47:1.5],0,0.5,0.459,100-25-4,99-65-0,606-20-2,70-34-8,610-39-9,FYFDQJRXFWGIBS-UHFFFAOYSA-N,WDCYWAQPCXBPJA-UHFFFAOYSA-N,XTRDKALNCIHHNI-UHFFFAOYSA-N,LOTKRQAVGJMPNV-UHFFFAOYSA-N,INYDMNPNDHRJQJ-UHFFFAOYSA-N,DTXSID0021836,DTXSID9024065,DTXSID5020528,DTXSID8025331,DTXSID8027240
DTXSID80883636,0.36,[0.32:0.39],0.36,[0.32:0.39],0,0.5,0.454,1002-67-1,112-36-7,111-96-6,112-49-2,7778-85-0,CNJRPYFBORAQAU-UHFFFAOYSA-N,RRQYJINTUHWNHW-UHFFFAOYSA-N,SBZXBUIDTXKZTM-UHFFFAOYSA-N,YFNKIDBQEZZDLK-UHFFFAOYSA-N,LEEANUDEDHYDTG-UHFFFAOYSA-N,DTXSID80883636,DTXSID3025047,DTXSID1024621,DTXSID8026224,DTXSID60871197
DTXSID30893604,4.63,[3.59:5.67],4.72,[3.68:5.76],1,0.3585,0.573,55290-62-5,15301-48-1,NOCAS_875517,68385-96-6,119126-15-7,CYBSOZQIUIYJCP-UHFFFAOYSA-N,FLKWNFFCSSJANB-UHFFFAOYSA-N,IHKXLAGGBFNSGG-UHFFFAOYSA-N,NSLHLMXJNOITEZ-UHFFFAOYSA-N,AOQMRUTZEYVDIL-UHFFFAOYSA-N,DTXSID90886133,DTXSID90165197,DTXSID40875517,DTXSID6071459,DTXSID7057943
DTXSID90143117,-0.09,[-0.29:0.11],-0.09,[-0.29:0.11],1,0.5445,0.71,98-97-5,2036-41-1,289-95-2,114-33-0,22047-25-2,NIPZZXUFJPQHNH-UHFFFAOYSA-N,TWGNOYAGHYUFFR-UHFFFAOYSA-N,CZPWVGJYEJSRLH-UHFFFAOYSA-N,ZYVXHFWBYUDDBM-UHFFFAOYSA-N,DBZAKQWXICEWNW-UHFFFAOYSA-N,DTXSID30243367,DTXSID2062115,DTXSID1051228,DTXSID00870467,DTXSID5047085
DTXSID7057606,-5.08,[-5.12:-5.04],-3.18,[-3.22:-3.14],1,1,0.8815,100-36-7,111-74-0,104-78-9,109-55-7,123-00-2,UDGSVBYJWHOHNN-UHFFFAOYSA-N,CJKRXEBLWJVYJD-UHFFFAOYSA-N,QOHMWDJIBGVPIF-UHFFFAOYSA-N,IUNMPGNGSSIWFP-UHFFFAOYSA-N,UIKUBYKUYUSRSM-UHFFFAOYSA-N,DTXSID7057606,DTXSID0059409,DTXSID7059303,DTXSID5025102,DTXSID4041521
