MoleculeID,ReadyBiodeg_exp,ReadyBiodeg_pred,AD_ReadyBiodeg,AD_index_ReadyBiodeg,Conf_index_ReadyBiodeg,ReadyBiodeg_CAS_neighbor_1,ReadyBiodeg_CAS_neighbor_2,ReadyBiodeg_CAS_neighbor_3,ReadyBiodeg_CAS_neighbor_4,ReadyBiodeg_CAS_neighbor_5,ReadyBiodeg_InChiKey_neighbor_1,ReadyBiodeg_InChiKey_neighbor_2,ReadyBiodeg_InChiKey_neighbor_3,ReadyBiodeg_InChiKey_neighbor_4,ReadyBiodeg_InChiKey_neighbor_5,ReadyBiodeg_DTXSID_neighbor_1,ReadyBiodeg_DTXSID_neighbor_2,ReadyBiodeg_DTXSID_neighbor_3,ReadyBiodeg_DTXSID_neighbor_4,ReadyBiodeg_DTXSID_neighbor_5,ReadyBiodeg_Exp_neighbor_1,ReadyBiodeg_Exp_neighbor_2,ReadyBiodeg_Exp_neighbor_3,ReadyBiodeg_Exp_neighbor_4,ReadyBiodeg_Exp_neighbor_5,ReadyBiodeg_pred_neighbor_1,ReadyBiodeg_pred_neighbor_2,ReadyBiodeg_pred_neighbor_3,ReadyBiodeg_pred_neighbor_4,ReadyBiodeg_pred_neighbor_5,GATS1m,MLFER_BO,BCUTp_1h,SpMax1_Bhs,GATS1p,MLFER_E,ATSC1e,ATS4m,hmax,ATSC2m
DTXSID5020281,1,0,1,0.736623498206989,0.868311749103495,100-00-5|,121-73-3|,88-73-3|,121-86-8|,100-14-1|,CZGCEKJOLUNIFY-UHFFFAOYSA-N,KMAQZIILEGKYQZ-UHFFFAOYSA-N,BFCFYVKQTRLZHA-UHFFFAOYSA-N,LLYXJBROWQDVMI-UHFFFAOYSA-N,KGCNHWXDPDPSBV-UHFFFAOYSA-N,DTXSID5020281|,DTXSID4021971|,DTXSID0020280|,DTXSID3026984|,DTXSID4025745|,0,0,0,0,0,0,0,0,0,0,0.457354806484365,-0.132,8.35506259487206,4.75399088588472,0.599655008896921,1.072,0.661439999999999,1577.357743,0.701119684499314,11.8905296785714
DTXSID8020961,1,0,1,0.821827262637867,0.75640513413146,100-01-6|,99-09-2|,88-74-4|,100-02-7|,554-84-7|,TYMLOMAKGOJONV-UHFFFAOYSA-N,XJCVRTZCHMZPBD-UHFFFAOYSA-N,DPJCXCZTLWNFOH-UHFFFAOYSA-N,BTJIUGUIPKRLHP-UHFFFAOYSA-N,RTZZCYNQPHTPPL-UHFFFAOYSA-N,DTXSID8020961|,DTXSID6025725|,DTXSID1025726|,DTXSID0021834|,DTXSID2025765|,0,0,0,0,1,0,0,0,0,0,0.673196120226025,0.194,7.62873532102289,4.7540828236191,0.754134529071004,1.212,0.475328,1329.06939,0.715694444444444,45.6763248749998
DTXSID0021834,1,0,1,0.863902854448116,0.777442930036585,100-02-7|,554-84-7|,88-75-5|,100-01-6|,99-09-2|,BTJIUGUIPKRLHP-UHFFFAOYSA-N,RTZZCYNQPHTPPL-UHFFFAOYSA-N,IQUPABOKLQSFBK-UHFFFAOYSA-N,TYMLOMAKGOJONV-UHFFFAOYSA-N,XJCVRTZCHMZPBD-UHFFFAOYSA-N,DTXSID0021834|,DTXSID2025765|,DTXSID1021790|,DTXSID8020961|,DTXSID6025725|,0,1,0,0,0,0,0,0,0,0,0.631309893924484,0.179,7.54583642730613,4.75427665889447,0.786291340691685,1.11,0.384855466666666,1330.76487,0.729583333333333,-13.9099970000001
DTXSID3032622,NaN,1,1,0.546014294449687,0.773007147224843,98-01-1|,142-08-5|,674-82-8|,17747-43-2|,123-11-5|,HYBBIBNJHNGZAN-UHFFFAOYSA-N,CSMMEAYSMCAJPJ-UHFFFAOYSA-N,WASQWSOJHCZDFK-UHFFFAOYSA-N,QZDWODWEESGPLC-UHFFFAOYSA-N,ZRSNZINYAWTAHE-UHFFFAOYSA-N,DTXSID1020647|,DTXSID2051716|,DTXSID9027289|,DTXSID20170315|,DTXSID2026997|,1,1,1,1,1,1,1,1,1,1,0.672861930382997,0.503,6.711314476118,4.61442251003464,1.17327218495328,0.605,0.113194,287.013765,0.759027777777778,170.359872548611
DTXSID2044347,NaN,1,1,0.669098174348859,0.616303250622575,62-44-2|,588-46-5|,103-84-4|,620-71-3|,101-42-8|,CPJSUEIXXCENMM-UHFFFAOYSA-N,UZJLYRRDVFWSGA-UHFFFAOYSA-N,FZERHIULMFGESH-UHFFFAOYSA-N,ZTHRQJQJODGZHV-UHFFFAOYSA-N,XXOYNJXVWVNOOJ-UHFFFAOYSA-N,DTXSID1021116|,DTXSID6052249|,DTXSID2022543|,DTXSID0060721|,DTXSID7037551|,0,1,1,0,1,1,0,1,1,1,0.802696440376939,0.677,8.42803864539971,4.51069809371593,1.1793180609179,0.825,-0.0119337142857139,1630.708604,0.560605513038549,143.134582489796
DTXSID9059204,NaN,0,1,0.549693208764023,0.620338107194538,2142-68-9|,91-64-5|,15545-48-9|,87-41-2|,130-15-4|,ZDOYHCIRUPHUHN-UHFFFAOYSA-N,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,JXCGFZXSOMJFOA-UHFFFAOYSA-N,WNZQDUSMALZDQF-UHFFFAOYSA-N,FRASJONUBLZVQX-UHFFFAOYSA-N,DTXSID1062201|,DTXSID7020348|,DTXSID8052853|,DTXSID0052594|,DTXSID5040704|,0,1,0,1,0,0,1,0,1,1,0.519496186517395,0.677,8.77728778882342,4.52196361298551,0.897632475274494,0.952,-0.0740020000000005,2168.370758,0.560219710569413,220.356117777778
DTXSID4059205,2,1,1,0.8051663858073,0.90258319290365,100-09-4|,586-38-9|,579-75-9|,121-33-5|,121-32-4|,ZEYHEAKUIGZSGI-UHFFFAOYSA-N,XHQZJYCNDZAGLW-UHFFFAOYSA-N,ILUJQPXNXACGAN-UHFFFAOYSA-N,MWOOGOJBHIARFG-UHFFFAOYSA-N,CBOQJANXLMLOSS-UHFFFAOYSA-N,DTXSID4059205|,DTXSID2060410|,DTXSID3060376|,DTXSID0021969|,DTXSID5021968|,1,1,1,1,1,1,1,1,1,1,0.755893024465911,0.676,8.06576196936113,4.63822953056164,1.09357597702997,0.798,-0.282435789473684,1686.119796,0.766736111111111,63.0351092493073
DTXSID80889259,NaN,1,1,0.536229931205278,0.574402022241242,107-41-5|,102-81-8|,4457-71-0|,144-19-4|,126-30-7|,SVTBMSDMJJWYQN-UHFFFAOYSA-N,IWSZDQRGNFLMJS-UHFFFAOYSA-N,SXFJDZNJHVPHPH-UHFFFAOYSA-N,JCTXKRPTIMZBJT-UHFFFAOYSA-N,SLCVBVWXLSEKPL-UHFFFAOYSA-N,DTXSID5021885|,DTXSID2024953|,DTXSID1063483|,DTXSID8027113|,DTXSID8027036|,1,0,1,1,0,1,0,1,0,1,1.40272011196896,0.901,8.25992543187022,4.44933169148753,1.53880441548938,0.393,-0.183082087990484,1642.225819,0.505555555555556,-142.154734225923
DTXSID7030698,NaN,1,0,0.052884385267193,0.308196356081742,987-78-0|,2809-21-4|,3806-34-6|,83-88-5|,60-00-4|,OPDHNBAEGPICKZ-UHFFFAOYSA-O,DBVJJBKOTRCVKF-UHFFFAOYSA-N,PZRWFKGUFWPFID-UHFFFAOYSA-N,AUNGANRZJHBGPY-UHFFFAOYSA-N,KCXVZYZYPLLWCC-UHFFFAOYSA-N,DTXSID9048431|,DTXSID6023028|,DTXSID2027549|,DTXSID8021777|,DTXSID6022977|,1,1,1,0,0,0,1,0,0,1,0.8555897267982,9.49,9.69246212496558,5.05139560247053,1.46640633255457,4.79,-6.28595559183671,29209.0926660001,1.26498096507577,-1398.54851400002
DTXSID2026652,1,0,1,0.758439330309826,0.660973828603059,100-18-5|,535-77-3|,99-87-6|,527-84-4|,99-85-4|,SPPWGCYEYAMHDT-UHFFFAOYSA-N,XCYJPXQACVEIOS-UHFFFAOYSA-N,HFPZCAJZSCWRBC-UHFFFAOYSA-N,WWRCMNKATXZARA-UHFFFAOYSA-N,YKFLAYDHMOASIY-UHFFFAOYSA-N,DTXSID2026652|,DTXSID2060206|,DTXSID3026645|,DTXSID1052165|,DTXSID6041210|,0,0,1,0,1,1,0,0,1,1,1.20833333333333,0.152,9.07376793044975,3.86870897552071,1.20833333333333,0.642,2.74259781551933e-15,1999.738618,0.359305555555556,174.335052959999
