MoleculeID,LogVP_exp,LogVP_pred,VP_predRange,AD_VP,AD_index_VP,Conf_index_VP,LogVP_CAS_neighbor_1,LogVP_CAS_neighbor_2,LogVP_CAS_neighbor_3,LogVP_CAS_neighbor_4,LogVP_CAS_neighbor_5,LogVP_InChiKey_neighbor_1,LogVP_InChiKey_neighbor_2,LogVP_InChiKey_neighbor_3,LogVP_InChiKey_neighbor_4,LogVP_InChiKey_neighbor_5,LogVP_DTXSID_neighbor_1,LogVP_DTXSID_neighbor_2,LogVP_DTXSID_neighbor_3,LogVP_DTXSID_neighbor_4,LogVP_DTXSID_neighbor_5,LogVP_Exp_neighbor_1,LogVP_Exp_neighbor_2,LogVP_Exp_neighbor_3,LogVP_Exp_neighbor_4,LogVP_Exp_neighbor_5,LogVP_pred_neighbor_1,LogVP_pred_neighbor_2,LogVP_pred_neighbor_3,LogVP_pred_neighbor_4,LogVP_pred_neighbor_5,MLFER_S,SHBd,TopoPSA,nHBDon_Lipinski,MLFER_L,MLFER_E,AATSC0v,nssO,MDEC_23,nHBAcc_Lipinski,piPC7,EE_Dt
DTXSID5020281,-2,-1.66,[-1.73:-1.59],1,1,0.827,100-00-5,121-73-3,88-73-3,99-99-0,98-95-3,CZGCEKJOLUNIFY-UHFFFAOYSA-N,KMAQZIILEGKYQZ-UHFFFAOYSA-N,BFCFYVKQTRLZHA-UHFFFAOYSA-N,ZPTVNYMJQHSSEA-UHFFFAOYSA-N,LQNUZADURLCDLV-UHFFFAOYSA-N,DTXSID5020281,DTXSID4021971,DTXSID0020280,DTXSID5023792,DTXSID3020964,-2,-1,-2,-2,-1,-1,-2,-1,-1,-1,0.9,0,43.14,0,4.765,1.072,42.6681020729422,0,5.65685424949238,3,3.84079549613978,41.385547609247
DTXSID8020961,-5,-5.48,[-5:-5.35],1,1,0.821,100-01-6,99-09-2,88-74-4,121-87-9,89-63-4,TYMLOMAKGOJONV-UHFFFAOYSA-N,XJCVRTZCHMZPBD-UHFFFAOYSA-N,DPJCXCZTLWNFOH-UHFFFAOYSA-N,LOCWBQIWHWIRGN-UHFFFAOYSA-N,PBGKNXWGYQPUJK-UHFFFAOYSA-N,DTXSID8020961,DTXSID6025725,DTXSID1025726,DTXSID4021973,DTXSID4030384,-5,-4,-3,-5,-3,-4,-4,-5,-4,-5,1.201,0.571306689342404,69.16,2,5.045,1.212,43.0695507976505,0,5.65685424949238,4,3.84079549613978,41.385547609247
DTXSID0021834,-4,-4,[-4:-3.8],1,1,0.76,100-02-7,611-07-4,88-75-5,700-38-9,4920-77-8,BTJIUGUIPKRLHP-UHFFFAOYSA-N,MZDBQSFPAMTTIS-UHFFFAOYSA-N,IQUPABOKLQSFBK-UHFFFAOYSA-N,NQXUSSVLFOBRSE-UHFFFAOYSA-N,QIORDSKCCHRSSD-UHFFFAOYSA-N,DTXSID0021834,DTXSID7060596,DTXSID1021790,DTXSID00220261,DTXSID90197716,-4,-1,-1,-2,-1,-2,-2,-2,-2,-2,1.065,0.718398526077098,63.37,1,4.768,1.11,41.2407307371774,0,5.65685424949238,4,3.84079549613978,41.385547609247
DTXSID3032622,-3,-2.86,[-2.99:-2.73],1,1,0.766,10004-44-1,818-61-1,868-77-9,1072-70-4,923-26-2,KGVPNLBXJKTABS-UHFFFAOYSA-N,OMIGHNLMNHATMP-UHFFFAOYSA-N,WOBHKFSMXKNTIM-UHFFFAOYSA-N,HBRXQSHUXIJOKV-UHFFFAOYSA-N,VHSHLMUCYSAUQU-UHFFFAOYSA-N,DTXSID3032622,DTXSID2022123,DTXSID7022128,DTXSID401030688,DTXSID1029629,-3,-1,-1,-2,-1,-1,-1,-1,-1,-1,0.909,0.759027777777778,38.33,1,3.605,0.605,43.1649828153753,1,2,3,0,22.4726680933367
DTXSID2044347,-2,-2.18,[-2:-2.08],1,1,0.963,100-06-1,586-37-8,123-11-5,103-26-4,103-36-6,NTPLXRHDUXRPNE-UHFFFAOYSA-N,BAYUSCHCCGXLAY-UHFFFAOYSA-N,ZRSNZINYAWTAHE-UHFFFAOYSA-N,CCRCUPLGCSFEDV-UHFFFAOYSA-N,KBEBGUQPQBELIU-UHFFFAOYSA-N,DTXSID2044347,DTXSID10207321,DTXSID2026997,DTXSID6042151,DTXSID9022520,-2,-1,-1,-1,-2,-2,-2,-1,-2,-2,1.185,0,26.3,0,5.375,0.825,51.1348946814828,1,7.06555105800289,2,4.40671924726425,47.6419660036705
DTXSID9059204,NaN,-1.38,[-2.4:-0.36],1,0.808,0.649,2905-69-3,100-06-1,586-37-8,24487-91-0,123-11-5,SPJQBGGHUDNAIC-UHFFFAOYSA-N,NTPLXRHDUXRPNE-UHFFFAOYSA-N,BAYUSCHCCGXLAY-UHFFFAOYSA-N,BXKZGIVKHPCDFO-UHFFFAOYSA-N,ZRSNZINYAWTAHE-UHFFFAOYSA-N,DTXSID7022201,DTXSID2044347,DTXSID10207321,DTXSID10885269,DTXSID2026997,0,-2,-1,-3,-1,-2,-2,-2,-1,-1,1.342,0,26.3,0,5.723,0.952,50.8254867046322,1,7.06555105800289,2,4.40671924726425,47.6419660036705
DTXSID4059205,-5,-5.31,[-5.82:-4.8],1,1,0.814,100-09-4,536-45-8,619-86-3,579-75-9,99-76-3,ZEYHEAKUIGZSGI-UHFFFAOYSA-N,ZEYHEAKUIGZSGI-UHFFFAOYSA-N,SHSGDXCJYVZFTP-UHFFFAOYSA-N,ILUJQPXNXACGAN-UHFFFAOYSA-N,LXCFILQKKLGQFO-UHFFFAOYSA-N,DTXSID4059205,DTXSID00201818,DTXSID2060709,DTXSID3060376,DTXSID4022529,-5,-6,-3,-5,-7,-6,-6,-6,-5,-5,1.095,0.766736111111111,46.53,1,5.357,0.798,47.7497420860493,1,7.06555105800289,3,4.40671924726425,47.6419660036704
DTXSID80889259,-2,-1.52,[-1.6:-1.44],1,1,0.977,1001354-72-8,15647-11-7,4048-33-3,96-20-8,694-83-7,AHZILZSKKSPIKM-UHFFFAOYSA-N,YFEAYNIMJBHJCM-UHFFFAOYSA-N,SUTWPJHCRAITLU-UHFFFAOYSA-N,JCBPETKZIGVZRE-UHFFFAOYSA-N,SSJXIUAHEKJCMH-UHFFFAOYSA-N,DTXSID80889259,DTXSID30864612,DTXSID9075242,DTXSID60859935,DTXSID0027301,-2,-1,-3,-0,-0,-2,-2,-2,-1,-1,0.452,0.852295918367347,46.25,3,5.109,0.393,45.4085274163314,0,3.94153988875342,2,0.693147180559945,28.5433741710966
DTXSID7030698,NaN,-2.45,[-5:0.83],0,0.095,0.168,24292-60-2,53784-84-2,16830-15-2,14306-25-3,17211-15-3,XJLXINKUBYWONI-UHFFFAOYSA-O,ONWAJCGYJSVQSX-UHFFFAOYSA-N,WYQVAPGDARQUBT-UHFFFAOYSA-N,IMQLKJBTEOYOSI-UHFFFAOYSA-N,IMQLKJBTEOYOSI-UHFFFAOYSA-N,DTXSID401044998,DTXSID201021110,DTXSID30937476,DTXSID50931734,DTXSID00938091,-5,-5,-5,-0,3,-3,-4,-8,3,3,6.325,4.96681655044789,474.9,18,31.444,4.79,42.4341679148126,12,24.7291619731468,30,5.93753620508243,709.782712893384
DTXSID2026652,-1,-0.61,[-0.71:-0.51],1,1,0.825,100-18-5,99-62-7,2050-24-0,577-55-9,3454-07-7,SPPWGCYEYAMHDT-UHFFFAOYSA-N,UNEATYXSUBPPKP-UHFFFAOYSA-N,HILAULICMJUOLK-UHFFFAOYSA-N,OKIRBHVFJGXOIS-UHFFFAOYSA-N,WHFHDVDXYKOSKI-UHFFFAOYSA-N,DTXSID2026652,DTXSID8026640,DTXSID0062133,DTXSID30860336,DTXSID70188081,-1,-0,0,-0,-0,-0,-0,-0,-0,0,0.451,0,0,0,5.436,0.642,54.0305792254134,0,8.59655945458833,0,4.48582342835553,53.1612944778831
