INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,DTXCID,CASRN,INCHIKEY,IUPAC_NAME,SMILES,INCHI_STRING,QSAR_READY_SMILES,MOLECULAR_FORMULA
DTXSID5020281,DSSTox_Substance_Id,DTXSID5020281,1-Chloro-4-nitrobenzene,DTXCID10281,100-00-5,CZGCEKJOLUNIFY-UHFFFAOYSA-N,1-Chloro-4-nitrobenzene,[O-][N+](=O)C1=CC=C(Cl)C=C1,"InChI=1S/C6H4ClNO2/c7-5-1-3-6(4-2-5)8(9)10/h1-4H
",[O-][N+](=O)C1=CC=C(Cl)C=C1,C6H4ClNO2
DTXSID8020961,DSSTox_Substance_Id,DTXSID8020961,4-Nitrobenzenamine,DTXCID40961,100-01-6,TYMLOMAKGOJONV-UHFFFAOYSA-N,4-Nitroaniline,NC1=CC=C(C=C1)[N+]([O-])=O,"InChI=1S/C6H6N2O2/c7-5-1-3-6(4-2-5)8(9)10/h1-4H,7H2
",NC1=CC=C(C=C1)[N+]([O-])=O,C6H6N2O2
DTXSID0021834,DSSTox_Substance_Id,DTXSID0021834,4-Nitrophenol,DTXCID201834,100-02-7,BTJIUGUIPKRLHP-UHFFFAOYSA-N,4-Nitrophenol,OC1=CC=C(C=C1)[N+]([O-])=O,"InChI=1S/C6H5NO3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H
",OC1=CC=C(C=C1)[N+]([O-])=O,C6H5NO3
DTXSID3032622,DSSTox_Substance_Id,DTXSID3032622,Hymexazol,DTXCID1012622,10004-44-1,KGVPNLBXJKTABS-UHFFFAOYSA-N,"5-Methyl-1,2-oxazol-3(2H)-one",CC1=CC(=O)NO1,"InChI=1S/C4H5NO2/c1-3-2-4(6)5-7-3/h2H,1H3,(H,5,6)
",CC1=CC(=O)NO1,C4H5NO2
DTXSID2044347,DSSTox_Substance_Id,DTXSID2044347,4'-Methoxyacetophenone,DTXCID0024347,100-06-1,NTPLXRHDUXRPNE-UHFFFAOYSA-N,1-(4-Methoxyphenyl)ethan-1-one,COC1=CC=C(C=C1)C(C)=O,"InChI=1S/C9H10O2/c1-7(10)8-3-5-9(11-2)6-4-8/h3-6H,1-2H3
",COC1=CC=C(C=C1)C(C)=O,C9H10O2
DTXSID9059204,DSSTox_Substance_Id,DTXSID9059204,"Benzoyl chloride, 4-methoxy-",DTXCID5032444,100-07-2,MXMOTZIXVICDSD-UHFFFAOYSA-N,4-Methoxybenzoyl chloride,COC1=CC=C(C=C1)C(Cl)=O,"InChI=1S/C8H7ClO2/c1-11-7-4-2-6(3-5-7)8(9)10/h2-5H,1H3
",COC1=CC=C(C=C1)C(Cl)=O,C8H7ClO2
DTXSID4059205,DSSTox_Substance_Id,DTXSID4059205,4-Anisic acid,DTXCID0032445,100-09-4,ZEYHEAKUIGZSGI-UHFFFAOYSA-N,4-Methoxybenzoic acid,COC1=CC=C(C=C1)C(O)=O,"InChI=1S/C8H8O3/c1-11-7-4-2-6(3-5-7)8(9)10/h2-5H,1H3,(H,9,10)
",COC1=CC=C(C=C1)C(O)=O,C8H8O3
DTXSID80889259,DSSTox_Substance_Id,DTXSID80889259,"4-Octanol, 3-amino-",DTXCID701028523,1001354-72-8,AHZILZSKKSPIKM-UHFFFAOYSA-N,3-Aminooctan-4-ol,CCCCC(O)C(N)CC,"InChI=1/C8H19NO/c1-3-5-6-8(10)7(9)4-2/h7-8,10H,3-6,9H2,1-2H3
",CCCCC(O)C(N)CC,C8H19NO
DTXSID40108675,DSSTox_Substance_Id,DTXSID40108675,"1-Propanone, 2-hydroxy-2-methyl-, 1-(4-C10-13-alkylphenyl) derivs.",,1001416-18-7,,,,,,
DTXSID7030698,DSSTox_Substance_Id,DTXSID7030698,alpha-Cyclodextrin,DTXCID5010698,10016-20-3,HFHDHCJBZVLPGP-RWMJIURBSA-N,"(1S,3R,5R,6S,8R,10R,11S,13R,15R,16S,18R,20R,21S,23R,25R,26S,28R,30R,31R,32R,33R,34R,35R,36R,37R,38R,39R,40R,41R,42R)-5,10,15,20,25,30-Hexakis(hydroxymethyl)-2,4,7,9,12,14,17,19,22,24,27,29-dodecaoxahe
ptacyclo[26.2.2.2~3,6~.2~8,11~.2~13,16~.2~18,21~.2~23,26~]dotetracontane-31,32,33,34,35,36,37,38,39,40,41,42-dodecol (non-preferred name)",OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O,"InChI=1S/C36H60O30/c37-1-7-25-13(43)19(49)31(55-7)62-26-8(2-38)57-33(21(51)15(26)45)64-28-10(4-40)59-35(23(53)17(28)47)66-30-12(6-42)60-36(24(54)18(30)48)65-29-11(5-41)58-34(22(52)16(29)46)63-27-9(3-39)56-32(61-25)20(50)14(27)44/h7-54H,1-6H2/t7-,8-,9-,10-,11-,12-,13-,14-,15-,16-,17-,18-,19-,20-,21-,22-,23-,24-,25-,26-,27-,28-,29-,30-,31-,32-,33-,34-,35-,36-/m1/s1
","[H]C12OC(CO)C([H])(OC3([H])OC(CO)C([H])(OC4([H])OC(CO)C([H])(OC5([H])OC(CO)C([H])(OC6([H])OC(CO)C([H])(OC7([H])OC(CO)C([H])(O1)C(O)C7O)C(O)C6O)C(O)C5O)C(O)C4O)C(O)C3O)C(O)C2O,OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O",C36H60O30
DTXSID2026652,DSSTox_Substance_Id,DTXSID2026652,"1,4-Diisopropylbenzene",DTXCID106652,100-18-5,SPPWGCYEYAMHDT-UHFFFAOYSA-N,"1,4-Di(propan-2-yl)benzene",CC(C)C1=CC=C(C=C1)C(C)C,"InChI=1S/C12H18/c1-9(2)11-5-7-12(8-6-11)10(3)4/h5-10H,1-4H3
",CC(C)C1=CC=C(C=C1)C(C)C,C12H18
DTXSID9044168,DSSTox_Substance_Id,DTXSID9044168,"Protein, vegetable, hydrolyzed",,100209-45-8,,,,,,
DTXSID6026080,DSSTox_Substance_Id,DTXSID6026080,Terephthalic acid,DTXCID006080,100-21-0,KKEYFWRCBNTPAC-UHFFFAOYSA-N,"Benzene-1,4-dicarboxylic acid",OC(=O)C1=CC=C(C=C1)C(O)=O,"InChI=1S/C8H6O4/c9-7(10)5-1-2-6(4-3-5)8(11)12/h1-4H,(H,9,10)(H,11,12)
",OC(=O)C1=CC=C(C=C1)C(O)=O,C8H6O4
DTXSID8049200,DSSTox_Substance_Id,DTXSID8049200,Barium nitrate,DTXCID3028471,10022-31-8,IWOUKMZUPDVPGQ-UHFFFAOYSA-N,Barium dinitrate,[Ba++].[O-][N+]([O-])=O.[O-][N+]([O-])=O,"InChI=1S/Ba.2NO3/c;2*2-1(3)4/q+2;2*-1
",,BaN2O6
DTXSID7044760,DSSTox_Substance_Id,DTXSID7044760,Neodymium(III) chloride,DTXCID5024760,10024-93-8,ATINCSYRHURBSP-UHFFFAOYSA-K,Neodymium trichloride,Cl[Nd](Cl)Cl,"InChI=1S/3ClH.Nd/h3*1H;/q;;;+3/p-3
",,Cl3Nd
DTXSID0021836,DSSTox_Substance_Id,DTXSID0021836,"1,4-Dinitrobenzene",DTXCID001836,100-25-4,FYFDQJRXFWGIBS-UHFFFAOYSA-N,"1,4-Dinitrobenzene",[O-][N+](=O)C1=CC=C(C=C1)[N+]([O-])=O,"InChI=1S/C6H4N2O4/c9-7(10)5-1-2-6(4-3-5)8(11)12/h1-4H
",[O-][N+](=O)C1=CC=C(C=C1)[N+]([O-])=O,C6H4N2O4
DTXSID20858722,DSSTox_Substance_Id,DTXSID20858722,Chromium chloride (CrCl3),DTXCID10809460,10025-73-7,QSWDMMVNRMROPK-UHFFFAOYSA-K,Chromium(3+) trichloride,Cl[Cr](Cl)Cl,"InChI=1S/3ClH.Cr/h3*1H;/q;;;+3/p-3
",,Cl3Cr
DTXSID4029301,DSSTox_Substance_Id,DTXSID4029301,Trichlorosilane,DTXCID909301,10025-78-2,ZDHXKXAHOVTTAH-UHFFFAOYSA-N,Trichlorosilane,Cl[SiH](Cl)Cl,"InChI=1S/Cl3HSi/c1-4(2)3/h4H
",,Cl3HSi
DTXSID8033566,DSSTox_Substance_Id,DTXSID8033566,Indium trichloride,DTXCID6013566,10025-82-8,PSCMQHVBLHHWTO-UHFFFAOYSA-K,Indium trichloride,Cl[In](Cl)Cl,"InChI=1S/3ClH.In/h3*1H;/q;;;+3/p-3
",,Cl3In
DTXSID90905297,DSSTox_Substance_Id,DTXSID90905297,Lanthanum chloride--water (1/3/7),DTXCID601334402,10025-84-0,FDFPDGIMPRFRJP-UHFFFAOYSA-K,Lanthanum chloride--water (1/3/7),O.O.O.O.O.O.O.[Cl-].[Cl-].[Cl-].[La+3],"InChI=1S/3ClH.La.7H2O/h3*1H;;7*1H2/q;;;+3;;;;;;;/p-3
",,Cl3H14LaO7
DTXSID5029710,DSSTox_Substance_Id,DTXSID5029710,Phosphoric trichloride,DTXCID609710,10025-87-3,XHXFXVLFKHQFAL-UHFFFAOYSA-N,Phosphoric trichloride,ClP(Cl)(Cl)=O,"InChI=1S/Cl3OP/c1-5(2,3)4
",,Cl3OP
DTXSID4044161,DSSTox_Substance_Id,DTXSID4044161,Antimony trichloride,DTXCID2024161,10025-91-9,FAPDDOBMIUGHIN-UHFFFAOYSA-K,Trichlorostibane,Cl[Sb](Cl)Cl,"InChI=1S/3ClH.Sb/h3*1H;/q;;;+3/p-3
",,Cl3Sb
DTXSID0029711,DSSTox_Substance_Id,DTXSID0029711,"Silane, tetrachloro-",DTXCID009711,10026-04-7,FDNAPBUWERUEDA-UHFFFAOYSA-N,Tetrachlorosilane,Cl[Si](Cl)(Cl)Cl,"InChI=1S/Cl4Si/c1-5(2,3)4
",,Cl4Si
DTXSID7044348,DSSTox_Substance_Id,DTXSID7044348,Niobium chloride,DTXCID5024348,10026-12-7,YHBDIEWMOMLKOO-UHFFFAOYSA-I,Niobium(5+) pentachloride,Cl[Nb](Cl)(Cl)(Cl)Cl,"InChI=1S/5ClH.Nb/h5*1H;/q;;;;;+5/p-5
",,Cl5Nb
DTXSID80883636,DSSTox_Substance_Id,DTXSID80883636,"Ethane, 1-ethoxy-2-(2-methoxyethoxy)-",DTXCID001023146,1002-67-1,CNJRPYFBORAQAU-UHFFFAOYSA-N,1-Ethoxy-2-(2-methoxyethoxy)ethane,CCOCCOCCOC,"InChI=1S/C7H16O3/c1-3-9-6-7-10-5-4-8-2/h3-7H2,1-2H3
",CCOCCOCCOC,C7H16O3
DTXSID5064912,DSSTox_Substance_Id,DTXSID5064912,Nickel fluoride (NiF2),DTXCID7032503,10028-18-9,DBJLJFTWODWSOF-UHFFFAOYSA-L,Nickel(2+) difluoride,[F-].[F-].[Ni++],"InChI=1S/2FH.Ni/h2*1H;/q;;+2/p-2
",,F2Ni
DTXSID5029712,DSSTox_Substance_Id,DTXSID5029712,Ferric sulfate,DTXCID409712,10028-22-5,RUTXIHLAWFEWGM-UHFFFAOYSA-H,Iron(3+) sulfate (2/3),[Fe+3].[Fe+3].[O-]S([O-])(=O)=O.[O-]S([O-])(=O)=O.[O-]S([O-])(=O)=O,"InChI=1S/2Fe.3H2O4S/c;;3*1-5(2,3)4/h;;3*(H2,1,2,3,4)/q2*+3;;;/p-6
",,Fe2O12S3
DTXSID30893604,DSSTox_Substance_Id,DTXSID30893604,Oxathiapiprolin,DTXCID001323631,1003318-67-9,IAQLCKZJGNTRDO-UHFFFAOYSA-N,"1-(4-{4-[5-(2,6-Difluorophenyl)-4,5-dihydro-1,2-oxazol-3-yl]-1,3-thiazol-2-yl}piperidin-1-yl)-2-[5-methyl-3-(trifluoromethyl)-1H-pyrazol-1-yl]ethan-1-one",CC1=CC(=NN1CC(=O)N1CCC(CC1)C1=NC(=CS1)C1=NOC(C1)C1=C(F)C=CC=C1F)C(F)(F)F,"InChI=1/C24H22F5N5O2S/c1-13-9-20(24(27,28)29)31-34(13)11-21(35)33-7-5-14(6-8-33)23-30-18(12-37-23)17-10-19(36-32-17)22-15(25)3-2-4-16(22)26/h2-4,9,12,14,19H,5-8,10-11H2,1H3
",CC1=CC(=NN1CC(=O)N1CCC(CC1)C1=NC(=CS1)C1=NOC(C1)C1=C(F)C=CC=C1F)C(F)(F)F,C24H22F5N5O2S
DTXSID90143117,DSSTox_Substance_Id,DTXSID90143117,4-Methyloxazole-5-carbonitrile,DTXCID4065608,1003-52-7,JZSLPQXOLZCAME-UHFFFAOYSA-N,"4-Methyl-1,3-oxazole-5-carbonitrile",CC1=C(OC=N1)C#N,"InChI=1S/C5H4N2O/c1-4-5(2-6)8-3-7-4/h3H,1H3
",CC1=C(OC=N1)C#N,C5H4N2O
DTXSID7057606,DSSTox_Substance_Id,DTXSID7057606,2-Aminoethyldiethylamine,DTXCID5031395,100-36-7,UDGSVBYJWHOHNN-UHFFFAOYSA-N,"N~1~,N~1~-Diethylethane-1,2-diamine",CCN(CC)CCN,"InChI=1S/C6H16N2/c1-3-8(4-2)6-5-7/h3-7H2,1-2H3
",CCN(CC)CCN,C6H16N2
DTXSID5021837,DSSTox_Substance_Id,DTXSID5021837,"N,N-Diethylethanolamine",DTXCID401837,100-37-8,BFSVOASYOCHEOV-UHFFFAOYSA-N,2-(Diethylamino)ethan-1-ol,CCN(CC)CCO,"InChI=1S/C6H15NO/c1-3-7(4-2)5-6-8/h8H,3-6H2,1-2H3
",CCN(CC)CCO,C6H15NO
DTXSID1044350,DSSTox_Substance_Id,DTXSID1044350,Germanium tetrachloride,DTXCID9024350,10038-98-9,IEXRMSFAVATTJX-UHFFFAOYSA-N,Tetrachlorogermane,Cl[Ge](Cl)(Cl)Cl,"InChI=1S/Cl4Ge/c1-5(2,3)4
",,Cl4Ge
DTXSID2025424,DSSTox_Substance_Id,DTXSID2025424,Hydroxylamine sulfate (2:1),DTXCID505424,10039-54-0,VGYYSIDKAKXZEE-UHFFFAOYSA-L,Bis(hydroxyammonium) sulfate,[NH3+]O.[NH3+]O.[O-]S([O-])(=O)=O,"InChI=1S/2H4NO.H2O4S/c2*1-2;1-5(2,3)4/h2*2H,1H3;(H2,1,2,3,4)/q2*+1;/p-2
",,H8N2O6S
