MoleculeID,LogBCF_exp,LogBCF_pred,BCF_predRange,AD_BCF,AD_index_BCF,Conf_index_BCF,LogBCF_CAS_neighbor_1,LogBCF_CAS_neighbor_2,LogBCF_CAS_neighbor_3,LogBCF_CAS_neighbor_4,LogBCF_CAS_neighbor_5,LogBCF_InChiKey_neighbor_1,LogBCF_InChiKey_neighbor_2,LogBCF_InChiKey_neighbor_3,LogBCF_InChiKey_neighbor_4,LogBCF_InChiKey_neighbor_5,LogBCF_DTXSID_neighbor_1,LogBCF_DTXSID_neighbor_2,LogBCF_DTXSID_neighbor_3,LogBCF_DTXSID_neighbor_4,LogBCF_DTXSID_neighbor_5,LogBCF_Exp_neighbor_1,LogBCF_Exp_neighbor_2,LogBCF_Exp_neighbor_3,LogBCF_Exp_neighbor_4,LogBCF_Exp_neighbor_5,LogBCF_pred_neighbor_1,LogBCF_pred_neighbor_2,LogBCF_pred_neighbor_3,LogBCF_pred_neighbor_4,LogBCF_pred_neighbor_5,XLogP,CrippenLogP,nHBAcc,minsCl,LipinskiFailures,ALogP,naasC,nAcid,ATSC0v,ATSC1s
DTXSID5020281,1.3,1.3,[1.24:1.36],1,1,0.848,100-00-5,121-73-3,88-73-3,106-46-7,541-73-1,CZGCEKJOLUNIFY-UHFFFAOYSA-N,KMAQZIILEGKYQZ-UHFFFAOYSA-N,BFCFYVKQTRLZHA-UHFFFAOYSA-N,OCJBOOLMMGQPQU-UHFFFAOYSA-N,ZPQOPVIELGIULI-UHFFFAOYSA-N,DTXSID5020281,DTXSID4021971,DTXSID0020280,DTXSID1020431,DTXSID6022056,1.3,1.89,1.17,2.62,2.33,2.01,1.55,1.86,2.24,2.39,2.779,2.66909,0,0.776433610481229,0,1.4044,2,0,597.353429021191,0.663727219282774
DTXSID8020961,0.6,0.54,[0.48:0.6],1,1,0.95,99-09-2,100-01-6,767-00-0,88-74-4,96-96-8,XJCVRTZCHMZPBD-UHFFFAOYSA-N,TYMLOMAKGOJONV-UHFFFAOYSA-N,CVNOWLNNPYYEOH-UHFFFAOYSA-N,DPJCXCZTLWNFOH-UHFFFAOYSA-N,QFMJFXFXQAFGBO-UHFFFAOYSA-N,DTXSID6025725,DTXSID8020961,DTXSID9052509,DTXSID1025726,DTXSID3044750,0.48,0.6,0.91,1,0.85,0.6,0.48,0.61,0.78,0.71,1.653,1.59789,1,0,0,-0.0897999999999999,2,0,689.112812762409,-5.55555555555556
DTXSID0021834,0.71,1.06,[0.72:1.4],1,1,0.783,100-02-7,554-84-7,88-75-5,95-48-7,106-41-2,BTJIUGUIPKRLHP-UHFFFAOYSA-N,RTZZCYNQPHTPPL-UHFFFAOYSA-N,IQUPABOKLQSFBK-UHFFFAOYSA-N,QWVGKYWNOKOFNN-UHFFFAOYSA-N,GZFGOTFRPZRKDS-UHFFFAOYSA-N,DTXSID0021834,DTXSID2025765,DTXSID1021790,DTXSID8021808,DTXSID3051543,0.71,1.4,1.34,1.03,1.17,1.4,0.71,1.09,1.2,1.19,1.72,1.72129,0,0,0,0.1998,2,0,618.610961057661,-6.81481481481481
DTXSID3032622,NaN,0.16,[-0.17:0.49],1,0.57,0.685,68-12-2,123-91-1,110-91-8,96-45-7,110-85-0,ZMXDDKWLCZADIW-UHFFFAOYSA-N,RYHBNJHYFVUHQT-UHFFFAOYSA-N,YNAVUWVOSKDBBP-UHFFFAOYSA-N,PDQAZBWRQCGBEV-UHFFFAOYSA-N,GLUUGHFHXGJENI-UHFFFAOYSA-N,DTXSID6020515,DTXSID4020533,DTXSID2025688,DTXSID5020601,DTXSID1021164,-0.1,-0.3,0.45,0.26,0.59,0.26,0.35,0.2,0.34,0.24,0.00799999999999995,-0.30052,1,0,0,-0.4351,0,0,517.979793784504,-2.21296296296296
DTXSID2044347,NaN,0.88,[0.71:1],1,0.686,0.788,156-43-4,120-71-8,696-44-6,611-21-2,100-61-8,IMPPGHMHELILKG-UHFFFAOYSA-N,WXWCDTXEKCVRRO-UHFFFAOYSA-N,FBGJJTQNZVNEQU-UHFFFAOYSA-N,GUAWMXYQZKVRCW-UHFFFAOYSA-N,AFBPFSWMIHJQDM-UHFFFAOYSA-N,DTXSID0025864,DTXSID1020350,DTXSID2061014,DTXSID4060600,DTXSID9021841,1,0.55,0.86,0.95,1,0.6,0.79,0.93,0.81,1.1,1.854,1.86619,1,0,0,-0.3057,2,0,1073.83278831114,-2.16269841269841
DTXSID9059204,NaN,1.11,[0.86:1.47],1,0.508,0.641,89-63-4,611-21-2,696-44-6,121-69-7,100-43-6,PBGKNXWGYQPUJK-UHFFFAOYSA-N,GUAWMXYQZKVRCW-UHFFFAOYSA-N,FBGJJTQNZVNEQU-UHFFFAOYSA-N,JLTDJTHDQAWBAV-UHFFFAOYSA-N,KFDVPJUYSDEJTH-UHFFFAOYSA-N,DTXSID4030384,DTXSID4060600,DTXSID2061014,DTXSID2020507,DTXSID0051499,1.04,0.95,0.86,0.9,1.86,0.82,0.81,0.93,1.16,0.79,2.25,2.04259,1,0.404267290249433,0,0.3103,2,0,914.858760683379,-1.89729080932785
DTXSID4059205,NaN,0.61,[0.4:0.82],1,0.53,0.729,121-92-6,10541-83-0,1779-48-2,75-98-9,92-70-6,AFPHTEQTJZKQAQ-UHFFFAOYSA-N,ZVIDMSBTYRSMAR-UHFFFAOYSA-N,MLCHBQKMVKNBOV-UHFFFAOYSA-N,IUGYQRQAERSCNH-UHFFFAOYSA-N,ALKYHXVLJMQRLQ-UHFFFAOYSA-N,DTXSID0025737,DTXSID8065117,DTXSID0027436,DTXSID8026432,DTXSID3026560,0.85,0.38,0.78,0.36,0.6,0.6,0.64,0.59,0.67,0.55,1.589,1.36179,2,0,0,-0.2916,2,1,907.245099634937,-7.66520467836257
DTXSID80889259,NaN,0.68,[0.54:0.81],1,0.454,0.699,479-27-6,504-03-0,1477-55-0,2243-62-1,108-45-2,YFOOEYJGMMJJLS-UHFFFAOYSA-N,SDGKUVSVPIIUCF-UHFFFAOYSA-N,FDLQZKYLHJJBHD-UHFFFAOYSA-N,KQSABULTKYLFEV-UHFFFAOYSA-N,WZCQRUWWHSTZEM-UHFFFAOYSA-N,DTXSID6044432,DTXSID8048527,DTXSID9029649,DTXSID3020916,DTXSID4021137,0.8,0.7,0.43,0.65,0.81,0.38,0.91,0.73,1.09,1.15,1.499,1.2748,2,0,0,-2.3604,0,0,1316.84729507361,-6.49920729290527
DTXSID7030698,NaN,0.35,[0.22:0.48],0,0.048,0.612,5460-09-3,134-47-4,839-90-7,3089-11-0,135-51-3,APRRQJCCBSJQOQ-UHFFFAOYSA-N,PCGISRHGYLRXSR-UHFFFAOYSA-N,BPXVHIRIPLPOPT-UHFFFAOYSA-N,BNCADMBVWNPPIZ-UHFFFAOYSA-N,USWINTIHFQKJTR-UHFFFAOYSA-N,DTXSID4027600,DTXSID7059642,DTXSID4026266,DTXSID9027520,DTXSID8044543,0.46,0.26,0.2,0.54,0.3,0.42,0.48,0.17,0.65,0.48,-11.796,-13.0548,30,0,2,-10.4814,0,0,5346.70515726639,-102.481481481482
DTXSID2026652,3.24,3.24,[3.1:3.38],1,1,0.924,99-62-7,100-18-5,577-55-9,2531-84-2,101-81-5,UNEATYXSUBPPKP-UHFFFAOYSA-N,SPPWGCYEYAMHDT-UHFFFAOYSA-N,OKIRBHVFJGXOIS-UHFFFAOYSA-N,KANLOADZXMMCQA-UHFFFAOYSA-N,CZZYITDELCSZES-UHFFFAOYSA-N,DTXSID8026640,DTXSID2026652,DTXSID30860336,DTXSID1025649,DTXSID1041891,3.28,3.24,2.14,3.48,2.94,3.21,3.24,3.24,3.27,2.85,6.862,3.9334,0,0,1,1.1458,2,0,1620.9173767624,-1.77777777777778
