MoleculeID,CACO2_exp,CACO2_pred,CACO2_predRange,AD_CACO2,AD_index_CACO2,Conf_index_CACO2,CACO2_CAS_neighbor_1,CACO2_CAS_neighbor_2,CACO2_CAS_neighbor_3,CACO2_CAS_neighbor_4,CACO2_CAS_neighbor_5,CACO2_InChiKey_neighbor_1,CACO2_InChiKey_neighbor_2,CACO2_InChiKey_neighbor_3,CACO2_InChiKey_neighbor_4,CACO2_InChiKey_neighbor_5,CACO2_DTXSID_neighbor_1,CACO2_DTXSID_neighbor_2,CACO2_DTXSID_neighbor_3,CACO2_DTXSID_neighbor_4,CACO2_DTXSID_neighbor_5,CACO2_Exp_neighbor_1,CACO2_Exp_neighbor_2,CACO2_Exp_neighbor_3,CACO2_Exp_neighbor_4,CACO2_Exp_neighbor_5,CACO2_pred_neighbor_1,CACO2_pred_neighbor_2,CACO2_pred_neighbor_3,CACO2_pred_neighbor_4,CACO2_pred_neighbor_5,SHBd,MLFER_A,ATSC1i,nBondsD2,khs_ssSe,SsOH,MLFER_BO,nFRing,SP_6,nssO,nHBDon_Lipinski,ATSC1s,nN,minHsOH,MATS4c,nHBint3,ndO,StsC,SHaaCH,nHBint2,SpMAD_Dzm,nHCsatu,nHBint4,AATS5v,AATS1i,ALogp2,SHBint3,nHBa,MATS6e,GATS3c,khs_ddssSe,nHsNH2,khs_ssPbH2,WNSA_2,CrippenLogP,GATS4c
DTXSID5020281,NaN,-4.81,[-5.52:-4.11],0,0.059,0.283,61977-29-5,99-76-3,58-94-6,95-25-0,121-57-3,SJAPSPJRTQCDNO-UHFFFAOYSA-N,LXCFILQKKLGQFO-UHFFFAOYSA-N,JBMKAUGHUNFTOL-UHFFFAOYSA-N,TZFWDZFKRBELIQ-UHFFFAOYSA-N,HVBSAKJJOYLTQU-UHFFFAOYSA-N,DTXSID70381878,DTXSID4022529,DTXSID0022800,DTXSID9022813,DTXSID6024464,-4.11,-4.46,-5.89,-4.19,-5.43,-4.49,-4.66,-5.61,-4.58,-5.1,0,0.003,6.52856425605715,1,43.14,0,-0.132,0,0,0,0,0.663727219282774,1,0,-0.310049482248962,0,1,0,2.20142661179698,0,3.19302113063708,0,0,149.539675704065,148.484732765757,10.323369,0,2,2.78884450685175,0.648782534687775,156.993056048,0,2.536,458.32307628125,2.66909,1.16111258523347
DTXSID8020961,NaN,-4.82,[-5.32:-4.32],0,0.166,0.421,63-74-1,19178-25-7,CHEMBL393099|CHEMBL245809,121-57-3,61977-29-5,FDDDEECHVMSUSB-UHFFFAOYSA-N,QMOPAFMMLWUTKI-UHFFFAOYSA-N,BXNIGFVNPDKNLC-UHFFFAOYSA-N,HVBSAKJJOYLTQU-UHFFFAOYSA-N,SJAPSPJRTQCDNO-UHFFFAOYSA-N,DTXSID4023622,DTXSID50343499,?,DTXSID6024464,DTXSID70381878,-5.26,-4.37,-4.89,-5.43,-4.11,-5.52,-4.69,-4.98,-5.1,-4.49,0.571306689342404,0.334,10.0466259817,1,69.16,0,0.194,0,0,0,2,-5.55555555555556,2,0,-0.180712401114994,0,1,0,2.38361111111111,0,3.41425275955247,0,0,106.186893280121,155.731715104638,2.95771204,0,2,0.716092196848393,0.852892057818171,138.042927432,1,1.097,422.43110071875,1.59789,0.997538317354022
DTXSID0021834,NaN,-4.93,[-5.57:-4.29],0,0.082,0.328,99-76-3,61977-29-5,121-57-3,58-94-6,120-47-8,LXCFILQKKLGQFO-UHFFFAOYSA-N,SJAPSPJRTQCDNO-UHFFFAOYSA-N,HVBSAKJJOYLTQU-UHFFFAOYSA-N,JBMKAUGHUNFTOL-UHFFFAOYSA-N,NUVBSKCKDOMJSU-UHFFFAOYSA-N,DTXSID4022529,DTXSID70381878,DTXSID6024464,DTXSID0022800,DTXSID9022528,-4.46,-4.11,-5.43,-5.89,-4.81,-4.66,-4.49,-5.1,-5.61,-4.56,0.718398526077098,0.722,7.86675985540002,1,63.37,8.71585034013605,0.179,0,0,0,1,-6.81481481481481,1,0.718398526077098,-0.191057442545017,0,1,0,2.55722222222222,0,3.36752499648641,0,0,116.836921140788,151.419630649517,5.20387344,0,2,2.13489478672189,0.83335798883707,139.02694302,0,1.508,390.565768976563,1.72129,1.0698338982694
DTXSID3032622,NaN,-5.66,[-6.22:-4.99],0,0.182,0.291,CHEMBL3287842,CHEMBL3287844,1251841-43-6,CHEMBL3287851,60-56-0,RFORRJWTWBSVQH-UHFFFAOYSA-N,VYGDBUNFMFHVLJ-UHFFFAOYSA-N,CFKOLKAQDSAASE-UHFFFAOYSA-N,ORLPPUHANSFJCS-UHFFFAOYSA-N,IVAWMVACECMAGC-UHFFFAOYSA-N,?,?,?,?,DTXSID4020820,-6,-6.22,-6,-5.59,-4.32,-5.75,-5.71,-5.44,-5.57,-5.66,0.759027777777778,0.003,0.768629371712499,2,38.33,0,0.503,0,1,1,1,-2.21296296296296,1,0,0.114961547583945,0,1,0,0,1,2.52223921360763,1,0,56.5486875281985,154.898789424408,0.86452804,0,3,0,1.16998306805723,99.0320284,0,0.00799999999999995,113.680960578125,-0.30052,0.579410972503359
DTXSID2044347,NaN,-4.92,[-5.2:-4.64],1,0.198,0.546,50771-89-6,CHEMBL1667967,CHEMBL1806794,120-47-8,99-76-3,WLOTVFRYXAJOSM-UHFFFAOYSA-N,XALCMOIGDGAVRK-UHFFFAOYSA-N,MSZXLCLRUSDFBH-UHFFFAOYSA-N,NUVBSKCKDOMJSU-UHFFFAOYSA-N,LXCFILQKKLGQFO-UHFFFAOYSA-N,?,?,?,DTXSID9022528,DTXSID4022529,-5.16,-4.84,-5.25,-4.81,-4.46,-5.08,-4.74,-4.87,-4.56,-4.66,0,0.003,-3.15454936702377,1,26.3,0,0.677,0,0,1,0,-2.16269841269841,0,0,-0.0818796353534786,0,1,0,2.16291666666667,0,4.1080339563753,1,0,107.985509801738,143.124300528286,2.41336225,0,2,0.604316660322385,1.16030496110374,150.06807956,0,1.814,589.690214542969,1.86619,0.971481448812189
DTXSID9059204,NaN,-4.51,[-4.89:-4.13],0,0.169,0.477,61977-29-5,99-76-3,95-25-0,120-47-8,50771-89-6,SJAPSPJRTQCDNO-UHFFFAOYSA-N,LXCFILQKKLGQFO-UHFFFAOYSA-N,TZFWDZFKRBELIQ-UHFFFAOYSA-N,NUVBSKCKDOMJSU-UHFFFAOYSA-N,WLOTVFRYXAJOSM-UHFFFAOYSA-N,DTXSID70381878,DTXSID4022529,DTXSID9022813,DTXSID9022528,?,-4.11,-4.46,-4.19,-4.81,-5.16,-4.49,-4.66,-4.58,-4.56,-5.08,0,0.003,-2.98515133556939,1,26.3,0,0.677,0,0,1,0,-1.89729080932785,0,0,-0.0506762641665253,0,1,0,2.1578549382716,0,3.85311215457206,0,0,127.995174564012,142.525984219683,4.65092356,0,3,1.08803864074361,0.887430865122882,170.013457144,0,2.21,622.346898257813,2.04259,0.9409571881462
DTXSID4059205,NaN,-4.64,[-5.05:-4.23],1,0.215,0.485,99-76-3,120-47-8,121-57-3,94-26-8,61977-29-5,LXCFILQKKLGQFO-UHFFFAOYSA-N,NUVBSKCKDOMJSU-UHFFFAOYSA-N,HVBSAKJJOYLTQU-UHFFFAOYSA-N,QFOHBWFCKVYLES-UHFFFAOYSA-N,SJAPSPJRTQCDNO-UHFFFAOYSA-N,DTXSID4022529,DTXSID9022528,DTXSID6024464,DTXSID3020209,DTXSID70381878,-4.46,-4.81,-5.43,-4.49,-4.11,-4.66,-4.56,-5.1,-4.65,-4.49,0.766736111111111,0.591,-0.885033705276267,1,46.53,8.50759448223734,0.676,0,0,1,1,-7.66520467836257,0,0.766736111111111,-0.0632908894733514,0,1,0,2.36791666666667,1,4.00926404369114,0,0,111.35584066047,145.156627209287,2.41709209,0,3,0.939221793040732,0.869534606998129,152.047344116,0,1.552,538.418510091797,1.36179,0.96127000464911
DTXSID80889259,NaN,-4.98,[-5.34:-4.62],1,0.203,0.451,299-42-3|53214-57-6|90-82-4,536-33-4,1197-18-8,51-61-6,CHEMBL393300|CHEMBL393301,KWGRBVOPPLSCSI-UHFFFAOYSA-N,AEOCXXJPGCBFJA-UHFFFAOYSA-N,GYDJEQRTZSCIOI-UHFFFAOYSA-N,VYFYYTLLBUKUHU-UHFFFAOYSA-N,KRFQUVCUCDFPGY-UHFFFAOYSA-N,DTXSID0022985|DTXSID70858959|DTXSID0023537,DTXSID0020577,DTXSID3045350,DTXSID6022420,?,-4.99,-4.4,-5.57,-4.95,-4.99,-4.4,-5.23,-5.19,-5.51,-4.73,0.852295918367347,0.281,2.47130565506123,0,46.25,9.3237962962963,0.901,0,0,0,3,-6.49920729290527,1,0.46375,-0.178840647304455,2,0,0,0,0,5.57062499684441,0,0,89.2121074617771,151.249623149648,5.57148816,6.22308588317271,2,-0.0880325661205599,0.880652312674055,145.146664228,1,1.499,431.373829436646,1.2748,1.53566848549087
DTXSID7030698,NaN,-6.84,[-7.14:-6.56],0,0.032,0.448,512-69-6,82854-37-3,29125-80-2,110623-73-9,?,MUPFEKGTMRGPLJ-UHFFFAOYSA-N,FSBUXLDOLNLABB-UHFFFAOYSA-N,RPVIQWDFJPYNJM-UHFFFAOYSA-N,OCZZCFAOOWZSRX-UHFFFAOYSA-N,YURJSTAIMNSZAE-UHFFFAOYSA-N,DTXSID8041111,DTXSID0033469,DTXSID301045305,DTXSID40149341,?,-7.31,-6.65,-7.05,-6.56,-6.59,-6.55,-6.82,-6.7,-6.66,-6.47,4.96681655044789,3.543,-2.40194597112171,0,474.9,195.613056271292,9.49,64,0,12,18,-102.481481481482,0,0.205402727459014,-0.0877786704311504,36,0,0,0,0,15.379674869464,0,24,160.243719706868,151.58117015608,109.85974596,65.5352929197441,30,0.0190084686044422,0.827905576240778,972.316940520002,0,-11.796,8736.97768766438,-13.0548,1.09309192292973
DTXSID2026652,NaN,-4.69,[-5.01:-4.37],1,0.213,0.527,846589-98-8,CHEMBL264424,CHEMBL1224024,2078-54-8,CHEMBL1806794,XTTZERNUQAFMOF-UHFFFAOYSA-N,OQZQEGAAANHHRE-UHFFFAOYSA-N,HWJCHTVVHUINLQ-UHFFFAOYSA-N,OLBCVFGFOZPWHH-UHFFFAOYSA-N,MSZXLCLRUSDFBH-UHFFFAOYSA-N,DTXSID60233650,?,?,DTXSID6023523,?,-4.55,-4.23,-4.72,-4.77,-5.25,-4.76,-4.42,-4.74,-4.51,-4.87,0,0.003,-3.42836870004248e-13,0,0,0,0.152,0,0,0,0,-1.77777777777778,0,0,-0.137140201991658,0,0,0,1.42138888888889,0,4.97776153903173,0,0,100.741185482206,142.59127106374,7.09796164000001,0,0,0.190476190476183,1.04487330144573,162.140850576,0,4.832,889.26340246875,3.9334,1.02556405305267
