MoleculeID,LogKoc_exp,LogKoc_pred,Koc_predRange,AD_Koc,AD_index_Koc,Conf_index_Koc,Koc_CAS_neighbor_1,Koc_CAS_neighbor_2,Koc_CAS_neighbor_3,Koc_CAS_neighbor_4,Koc_CAS_neighbor_5,Koc_InChiKey_neighbor_1,Koc_InChiKey_neighbor_2,Koc_InChiKey_neighbor_3,Koc_InChiKey_neighbor_4,Koc_InChiKey_neighbor_5,Koc_DTXSID_neighbor_1,Koc_DTXSID_neighbor_2,Koc_DTXSID_neighbor_3,Koc_DTXSID_neighbor_4,Koc_DTXSID_neighbor_5,LogKoc_Exp_neighbor_1,LogKoc_Exp_neighbor_2,LogKoc_Exp_neighbor_3,LogKoc_Exp_neighbor_4,LogKoc_Exp_neighbor_5,LogKoc_pred_neighbor_1,LogKoc_pred_neighbor_2,LogKoc_pred_neighbor_3,LogKoc_pred_neighbor_4,LogKoc_pred_neighbor_5,CrippenLogP,nHBAcc,SpDiam_Dzi,VP_1,MPC3,TPC,VABC,SsssN,topoDiameter,AATS1m,MPC6,ATS1v
DTXSID5020281,NaN,2.71,[2.45:2.97],1,0.644,0.742,120-83-2,95-77-2,106-46-7,106-41-2,586-78-7,HFZWRUODUSTPEG-UHFFFAOYSA-N,WDNBURPWRNALGP-UHFFFAOYSA-N,OCJBOOLMMGQPQU-UHFFFAOYSA-N,GZFGOTFRPZRKDS-UHFFFAOYSA-N,ZDFBKZUDCQQKAC-UHFFFAOYSA-N,DTXSID1020439|,DTXSID7025005|,DTXSID1020431|,DTXSID3051543|,DTXSID7060415|,2.81,3.09,2.65,2.41,2.42,2.95,2.77,2.7,2.72,2.78,2.66909,0,25.3572383517657,3.03054243974785,14,93,122.318354331722,0,6,139.731220785714,12,4241.97003085283
DTXSID8020961,1.88,1.88,[1.86:1.9],1,1,0.955,100-01-6,99-09-2,104-94-9,98-16-8,100-02-7,TYMLOMAKGOJONV-UHFFFAOYSA-N,XJCVRTZCHMZPBD-UHFFFAOYSA-N,BHAAPTBBJKJZER-UHFFFAOYSA-N,VIUDTWATMPPKEL-UHFFFAOYSA-N,BTJIUGUIPKRLHP-UHFFFAOYSA-N,DTXSID8020961|,DTXSID6025725|,DTXSID7024532|,DTXSID9024512|,DTXSID0021834|,1.88,1.73,1.93,2.36,2.37,2.01,1.87,1.8,1.78,1.73,1.59789,1,25.0920779645179,2.75227086482882,14,93,118.104046769456,0,6,107.932708125,12,4274.91685392682
DTXSID0021834,2.37,2.37,[2.33:2.37],1,1,0.859,100-02-7,98-95-3,100-01-6,90-05-1,150-19-6,BTJIUGUIPKRLHP-UHFFFAOYSA-N,LQNUZADURLCDLV-UHFFFAOYSA-N,TYMLOMAKGOJONV-UHFFFAOYSA-N,LHGVFZTZFXWLCP-UHFFFAOYSA-N,ASHGTJPOSUFTGB-UHFFFAOYSA-N,DTXSID0021834|,DTXSID3020964|,DTXSID8020961|,DTXSID0023113|,DTXSID0022012|,2.37,1.94,1.88,1.56,1.5,1.73,1.93,2.01,2,2.05,1.72129,0,25.2388476258818,2.68720252798398,14,93,115.89751326185,0,6,115.9158748,12,4164.71725569481
DTXSID3032622,NaN,1,[0.6:1.4],1,0.55,0.639,1464-53-5,123-91-1,106-89-8,110-86-1,556-61-6,ZFIVKAOQEXOYFY-UHFFFAOYSA-N,RYHBNJHYFVUHQT-UHFFFAOYSA-N,BRLQWZUYTZBJKN-UHFFFAOYSA-N,JUJWROOIHBZHMG-UHFFFAOYSA-N,LGDSHSYDSCRFAB-UHFFFAOYSA-N,DTXSID0041307|,DTXSID4020533|,DTXSID1020566|,DTXSID9021924|,DTXSID2027204|,0.4,1.23,1,1.6,0.97,1.18,0.95,1.03,1.18,0.87,-0.30052,1,13.1767638644966,1.93972270488542,9,47,88.6882347111557,0,4,106.00031825,0,2972.39066385609
DTXSID2044347,NaN,1.99,[1.7:2.28],1,0.603,0.704,93-89-0,5345-54-0,120-47-8,122-28-1,33222-69-4,MTZQAGJQAFMTAQ-UHFFFAOYSA-N,XQVCBOLNTSUFGD-UHFFFAOYSA-N,NUVBSKCKDOMJSU-UHFFFAOYSA-N,KFTYNYHJHKCRKU-UHFFFAOYSA-N,VTONZKDPQTYHLV-UHFFFAOYSA-N,DTXSID3038696|,DTXSID00201616|,DTXSID9022528|,DTXSID5059539|,DTXSID10186869|,2.3,1.93,2.21,1.94,1.48,1.68,2.09,2.12,1.78,1.76,1.86619,1,34.9341397557989,3.38786378597364,16,112,147.998480230722,0,7,88.1750388095238,16,5443.68988392729
DTXSID9059204,NaN,2.04,[1.68:2.4],1,0.609,0.687,5345-54-0,122-28-1,618-87-1,351-83-7,93-89-0,XQVCBOLNTSUFGD-UHFFFAOYSA-N,KFTYNYHJHKCRKU-UHFFFAOYSA-N,MPBZUKLDHPOCLS-UHFFFAOYSA-N,JHEFOJNPLXSWNZ-UHFFFAOYSA-N,MTZQAGJQAFMTAQ-UHFFFAOYSA-N,DTXSID00201616|,DTXSID5059539|,DTXSID0044151|,DTXSID40188598|,DTXSID3038696|,1.93,1.94,2.55,1.48,2.3,2.09,1.78,2.11,1.57,1.68,2.04259,1,34.5833431126621,3.45481049548749,16,112,145.913563375289,0,7,116.493354444444,16,5137.95904092572
DTXSID4059205,NaN,1.81,[1.48:2.14],1,0.693,0.711,33222-69-4,99-94-5,93-89-0,93-58-3,103-82-2,VTONZKDPQTYHLV-UHFFFAOYSA-N,LPNBBFKOUUSUDB-UHFFFAOYSA-N,MTZQAGJQAFMTAQ-UHFFFAOYSA-N,QPJVMBTYPHYUOC-UHFFFAOYSA-N,WLJVXDMOQOGPHL-UHFFFAOYSA-N,DTXSID10186869|,DTXSID6021618|,DTXSID3038696|,DTXSID5025572|,DTXSID2021656|,1.48,1.77,2.3,2.1,1.45,1.76,1.7,1.68,1.59,1.76,1.36179,2,34.4750757510217,3.11147058372362,16,112,139.492722305417,0,7,98.9148111052631,16,5060.70626576769
DTXSID80889259,NaN,1.95,[1.69:2.21],1,0.555,0.691,539-82-2,123-66-0,93-89-0,103-45-7,116-06-3,ICMAFTSLXCXHRK-UHFFFAOYSA-N,SHZIWNPUGXLXDT-UHFFFAOYSA-N,MTZQAGJQAFMTAQ-UHFFFAOYSA-N,MDHYEMXUFSJLGV-UHFFFAOYSA-N,QGLZXHRNAYXIBU-UHFFFAOYSA-N,DTXSID6040161|,DTXSID3021980|,DTXSID3038696|,DTXSID7044506|,DTXSID0039223|,1.97,2.06,2.3,1.89,1.5,1.51,1.98,1.68,1.98,1.79,1.2748,2,42.2055993876808,4.15557569971465,10,55,166.711322616461,0,7,57.4403366071428,3,5680.0900378082
DTXSID7030698,NaN,1.64,[1.32:1.93],0,0.042,0.49,126535-15-7,120162-55-2,144740-54-5,97780-06-8,86209-51-0,IMEVJVISCHQJRM-UHFFFAOYSA-N,MAHPNPYYQAIOJN-UHFFFAOYSA-N,DTVOKYWXACGVGO-UHFFFAOYSA-N,ZINJLDJMHCUBIP-UHFFFAOYSA-N,ZTYVMAQSHCZXLF-UHFFFAOYSA-N,DTXSID2032502|,DTXSID8041614|,DTXSID9058311|,DTXSID9034573|,DTXSID8032463|,1.84,1.89,1.46,1.93,1.08,1.53,1.68,1.83,1.84,1.93,-13.0548,30,695.668613075779,21.1020972653425,156,3240,808.423495343231,0,19,99.9817781818183,330,31715.3293784846
DTXSID2026652,NaN,3.32,[3:3.64],1,0.563,0.69,101-84-8,939-27-5,92-52-4,122-39-4,2051-60-7,USIUVYZYUHIAEV-UHFFFAOYSA-N,RJTJVVYSTUQWNI-UHFFFAOYSA-N,ZUOUZKKEUPVFJK-UHFFFAOYSA-N,DMBHHRLKUKUOEG-UHFFFAOYSA-N,LAXBNTIAOJWAOP-UHFFFAOYSA-N,DTXSID9021847|,DTXSID9061330|,DTXSID4020161|,DTXSID4021975|,DTXSID6040298|,3.29,3.76,3.27,2.78,3.47,3.33,3.39,3.5,3.31,3.59,3.9334,0,44.4853962222436,4.70811855099405,18,132,184.942439408,0,7,64.9699012,20,7147.46191566129
