MoleculeID,LogP_exp,LogP_pred,LogP_predRange,AD_LogP,AD_index_LogP,Conf_index_LogP,LogP_CAS_neighbor_1,LogP_CAS_neighbor_2,LogP_CAS_neighbor_3,LogP_CAS_neighbor_4,LogP_CAS_neighbor_5,LogP_InChiKey_neighbor_1,LogP_InChiKey_neighbor_2,LogP_InChiKey_neighbor_3,LogP_InChiKey_neighbor_4,LogP_InChiKey_neighbor_5,LogP_DTXSID_neighbor_1,LogP_DTXSID_neighbor_2,LogP_DTXSID_neighbor_3,LogP_DTXSID_neighbor_4,LogP_DTXSID_neighbor_5,LogP_Exp_neighbor_1,LogP_Exp_neighbor_2,LogP_Exp_neighbor_3,LogP_Exp_neighbor_4,LogP_Exp_neighbor_5,LogP_pred_neighbor_1,LogP_pred_neighbor_2,LogP_pred_neighbor_3,LogP_pred_neighbor_4,LogP_pred_neighbor_5,CrippenLogP,GATS2c,LipoaffinityIndex,AATS1p,ATSC1i,ETA_EtaP,MLFER_S,nN,ETA_Beta,SaltIndex
DTXSID5020281,2.39,2.39,[2.39:2.41],1,1,0.934,100-00-5,121-73-3,585-79-5,586-78-7,89-59-8,CZGCEKJOLUNIFY-UHFFFAOYSA-N,KMAQZIILEGKYQZ-UHFFFAOYSA-N,FWIROFMBWVMWLB-UHFFFAOYSA-N,ZDFBKZUDCQQKAC-UHFFFAOYSA-N,SQFLFRQWPBEDHM-UHFFFAOYSA-N,DTXSID5020281,DTXSID4021971,DTXSID3060409,DTXSID7060415,DTXSID4058994,2.39,2.47,2.64,2.55,3.05,2.62,2.59,2.74,2.79,2.88,2.66909,1.02201286937948,2.50266734749867,2.03068408857143,6.52856425605715,0.36761,0.9,1,15.5,0
DTXSID8020961,1.39,1.39,[1.34:1.39],1,1,0.913,100-01-6,99-09-2,75773-74-9,99-57-0,610-81-1,TYMLOMAKGOJONV-UHFFFAOYSA-N,XJCVRTZCHMZPBD-UHFFFAOYSA-N,LVRPDWZNGAHIDM-UHFFFAOYSA-N,VLZVIIYRNMWPSN-UHFFFAOYSA-N,IQXUIDYRTHQTET-UHFFFAOYSA-N,DTXSID8020961,DTXSID6025725,DTXSID80878880,DTXSID6020062,DTXSID50209864,1.39,1.37,0.03,1.26,1.01,1.08,1.1,1.3,1.32,1.36,1.59789,0.741501486691372,1.83478148148148,1.755807615,10.0466259817,0.34261,1.201,2,15.5,0
DTXSID0021834,1.91,1.91,[1.91:1.94],1,1,0.973,100-02-7,554-84-7,2581-34-2,2042-14-0,5428-54-6,BTJIUGUIPKRLHP-UHFFFAOYSA-N,RTZZCYNQPHTPPL-UHFFFAOYSA-N,PIIZYNQECPTVEO-UHFFFAOYSA-N,BQEXDUKMTVYBRK-UHFFFAOYSA-N,UMFDLIXUUJMPSI-UHFFFAOYSA-N,DTXSID0021834,DTXSID2025765,DTXSID2062535,DTXSID90879085,DTXSID4063874,1.91,2,2.48,2.18,2.47,1.98,1.94,2.22,2.37,2.24,1.72129,0.703866849523543,1.51114259259259,1.77753901506667,7.86675985540002,0.33613,1.065,1,15.5,0
DTXSID3032622,0.46,0.45,[0.33:0.46],1,1,0.772,10004-44-1,78-97-7,NOCAS_859699,306-44-5,822-89-9,KGVPNLBXJKTABS-UHFFFAOYSA-N,WOFDVDFSGLBFAC-UHFFFAOYSA-N,IADUEWIQBXOCDZ-UHFFFAOYSA-N,OVGLVOLWBBGQHS-UHFFFAOYSA-N,SNUSZUYTMHKCPM-UHFFFAOYSA-N,DTXSID3032622,DTXSID6025432,DTXSID80859699,DTXSID0073162,DTXSID70231622,0.46,-0.94,-2.84,0.34,-1.53,-1.21,-0.64,-1.42,-0.04,0.34,-0.30052,0.923708836790592,1.06495416666667,1.57935246166667,0.768629371712499,0.44871,0.909,1,7.5,0
DTXSID2044347,1.74,1.75,[1.74:1.79],1,1,0.936,100-06-1,586-37-8,32723-67-4,10031-82-0,579-74-8,NTPLXRHDUXRPNE-UHFFFAOYSA-N,BAYUSCHCCGXLAY-UHFFFAOYSA-N,MYLBIQHZWFWSMH-UHFFFAOYSA-N,JRHHJNMASOIRDS-UHFFFAOYSA-N,DWPLEOPKBWNPQV-UHFFFAOYSA-N,DTXSID2044347,DTXSID10207321,DTXSID60186399,DTXSID7022251,DTXSID8060375,1.74,1.84,2.23,2.09,1.82,1.95,1.91,1.74,1.89,1.81,1.86619,1.24064237451573,3.7529091175359,1.78403157619048,-3.15454936702377,0.50145,1.185,0,14.25,0
DTXSID9059204,NaN,2.33,[1.8:2.86],1,0.686,0.689,610-96-8,16766-30-6,1126-46-1,491-38-3,2905-65-9,JAVRNIFMYIJXIE-UHFFFAOYSA-N,FVZQMMMRFNURSH-UHFFFAOYSA-N,LXNFVVDCCWUUKC-UHFFFAOYSA-N,OTAFHZMPRISVEM-UHFFFAOYSA-N,XRDRKVPNHIWTBX-UHFFFAOYSA-N,DTXSID8044701,DTXSID0074974,DTXSID5022148,DTXSID40197680,DTXSID6027507,2.38,2.15,2.87,1.38,2.85,2.65,1.98,2.56,2.58,2.63,2.04259,1.15818963977372,3.24987770521892,1.94309612055556,-2.98515133556939,0.49461,1.342,0,14.5,0
DTXSID4059205,1.96,1.96,[1.93:1.99],1,1,0.977,100-09-4,586-38-9,579-75-9,119-36-8,99-76-3,ZEYHEAKUIGZSGI-UHFFFAOYSA-N,XHQZJYCNDZAGLW-UHFFFAOYSA-N,ILUJQPXNXACGAN-UHFFFAOYSA-N,OSWPMRLSEDHDFF-UHFFFAOYSA-N,LXCFILQKKLGQFO-UHFFFAOYSA-N,DTXSID4059205,DTXSID2060410,DTXSID3060376,DTXSID5025659,DTXSID4022529,1.96,2.02,1.59,2.55,1.96,2,1.98,2.07,1.88,1.95,1.36179,0.884901319806653,2.84384249622071,1.74785463978947,-0.885033705276267,0.45263,1.095,0,14.5,0
DTXSID80889259,1.3,1.3,[1.21:1.39],1,1,0.927,1001354-72-8,15673-00-4,108-09-8,123-82-0,57224-50-7,AHZILZSKKSPIKM-UHFFFAOYSA-N,GPWHFPWZAPOYNO-UHFFFAOYSA-N,UNBMPKNTYKDYCG-UHFFFAOYSA-N,VSRBKQFNFZQRBM-UHFFFAOYSA-N,LPBSHGLDBQBSPI-UHFFFAOYSA-N,DTXSID80889259,DTXSID8075091,DTXSID4025113,DTXSID6048468,DTXSID50205846,1.3,1.72,1.2,2.4,-1.42,1.09,1.62,1.23,2.2,0.44,1.2748,0.80096006055592,3.54041462396069,1.51846648378572,2.47130565506123,1.02609,0.452,1,5,0
DTXSID7030698,NaN,-0.97,[-4.41:2.47],0,0.112,0.1,53784-84-2,585-88-6,547-25-1,99-20-7,57-50-1,ONWAJCGYJSVQSX-UHFFFAOYSA-N,VQHSOMBJVWLPSR-UHFFFAOYSA-N,RULSWEULPANCDV-UHFFFAOYSA-N,HDTRYLNUVZCQOY-UHFFFAOYSA-N,CZMRCDWAGMRECN-UHFFFAOYSA-N,DTXSID201021110,DTXSID0044444,DTXSID90876998,DTXSID3048102,DTXSID2021288,3.5,-3.87,-4.8,0.3,-3.7,0.21,-2.42,-2.15,-3.86,-1.87,-13.0548,1.13066947943293,-27.7424089777807,1.48722700581818,-2.40194597112171,1.85322,6.325,0,46.5,0
DTXSID2026652,5.23,5.23,[5.17:5.29],1,1,0.902,100-18-5,99-62-7,2049-95-8,2855-27-8,92368-90-6,SPPWGCYEYAMHDT-UHFFFAOYSA-N,UNEATYXSUBPPKP-UHFFFAOYSA-N,QHTJSSMHBLGUHV-UHFFFAOYSA-N,KTRQRAQRHBLCSQ-UHFFFAOYSA-N,CGMOOAUESLSUKM-UHFFFAOYSA-N,DTXSID2026652,DTXSID8026640,DTXSID7051848,DTXSID80869516,DTXSID20869095,5.23,4.82,4.95,6,4,4.87,5.13,4.76,4.86,4.04,3.9334,0.928189253580452,7.64184391534392,1.783686586,-3.42836870004248e-13,0.85097,0.451,0,12,0
