MoleculeID,MolWeight,nbAtoms,nbHeavyAtoms,nbC,nbO,nbN,nbAromAtom,nbRing,nbHeteroRing,Sp3Sp2HybRatio,nbRotBd,nbHBdAcc,ndHBdDon,nbLipinskiFailures,TopoPolSurfAir,MolarRefract,CombDipolPolariz
DTXSID5020281,156.993056048,14,10,6,2,1,6,1,0,0,1,0,0,0,43.14,9.5056,0.9
DTXSID8020961,138.042927432,16,10,6,2,2,6,1,0,0,1,1,1,0,69.16,8.1121,1.201
DTXSID0021834,139.02694302,15,10,6,3,1,6,1,0,0,1,0,1,0,63.37,6.4546,1.065
DTXSID3032622,99.0320284,12,7,4,2,1,0,1,1,0.25,0,1,1,0,38.33,24.3643,0.909
DTXSID2044347,150.06807956,21,11,9,2,0,6,1,0,0.222222222222222,2,1,0,0,26.3,18.0862,1.185
DTXSID9059204,170.013457144,18,11,8,2,0,6,1,0,0.125,2,1,0,0,26.3,18.3936,1.342
DTXSID4059205,152.047344116,19,11,8,3,0,6,1,0,0.125,2,2,1,0,46.53,14.5351,1.095
DTXSID80889259,145.146664228,29,10,8,1,1,0,0,0,1,5,2,2,0,46.25,37.0263,0.452
DTXSID7030698,972.316940520002,126,66,36,30,0,0,6,6,1,6,30,18,2,474.9,194.4798,6.325
DTXSID2026652,162.140850576,30,12,12,0,0,6,1,0,0.5,2,0,0,1,0,28.5356,0.451
DTXSID6026080,166.026608672,18,12,8,4,0,6,1,0,0,2,4,2,0,74.6,14.4386,1.291
DTXSID0021836,168.017106608,16,12,6,4,2,6,1,0,0,2,0,0,0,86.28,7.78,0.957
DTXSID80883636,148.109944372,26,10,7,3,0,0,0,0,1,7,3,0,0,27.69,39.3933,0.682
DTXSID30893604,539.141437044001,59,37,24,2,5,16,5,4,0.416666666666667,7,5,0,1,100.85,70.8268,2.792
DTXSID90143117,108.032362748,12,8,5,1,2,5,1,1,0.25,0,2,0,0,49.82,13.5502,1.188
DTXSID7057606,116.131348512,24,8,6,0,2,0,0,0,1,4,2,1,0,29.26,36.5255,0.523
DTXSID5021837,117.1153641,23,8,6,1,1,0,0,0,1,4,2,1,0,23.47,34.868,0.63
DTXSID10143255,342.116211524001,45,23,12,11,0,0,0,0,0.833333333333333,12,11,8,3,205.21,71.1811,3.342
DTXSID3021437,108.093900384,20,8,8,0,0,0,1,0,0.5,1,0,0,0,0,37.0376,0.378
DTXSID3020596,106.07825032,18,8,8,0,0,6,1,0,0.25,1,0,0,0,0,10.3505,0.553
DTXSID20143261,196.084792244,26,14,9,3,2,6,1,0,0.333333333333333,4,2,2,0,75.4,24.6811,1
DTXSID2021284,104.062600256,16,8,8,0,0,6,1,0,0,1,0,0,0,0,10.1472,0.593
DTXSID9029302,158.167065324,33,11,10,1,0,0,0,0,1,7,1,1,0,20.23,42.427,0.41
DTXSID0051499,105.057849224,15,8,7,0,1,6,1,1,0,1,1,0,0,12.89,10.1472,0.766
DTXSID0020153,126.023627904,15,8,7,0,0,6,1,0,0.142857142857143,1,0,0,0,0,10.3278,0.71
DTXSID5021839,107.073499288,17,8,7,0,1,6,1,0,0.142857142857143,1,1,1,0,26.02,8.9343,0.803
DTXSID7021491,103.04219916,13,8,7,0,1,6,1,0,0,0,1,0,0,23.79,6.1986,1.052
DTXSID9041528,104.037448128,12,8,6,0,2,6,1,1,0,0,2,0,0,36.68,6.1986,1.225
DTXSID1026661,110.07316494,18,8,7,1,0,0,1,0,0.571428571428571,1,1,0,0,17.07,34.0031,0.833
DTXSID5020152,108.057514876,16,8,7,1,0,6,1,0,0.142857142857143,1,1,1,0,20.23,7.2768,0.875
DTXSID8039241,106.041864812,14,8,7,1,0,6,1,0,0,1,1,0,0,17.07,6.2939,1.048
DTXSID6026664,124.034671256,16,8,7,0,0,6,1,0,0.142857142857143,1,0,0,0,38.8,13.4038,1.271
DTXSID1026665,104.037448128,12,8,6,0,2,6,1,1,0,0,2,0,0,36.68,6.1986,1.225
DTXSID9021841,107.073499288,17,8,7,0,1,6,1,0,0.142857142857143,1,1,1,0,12.03,8.9967,0.864
DTXSID4021842,113.084063972,19,8,6,1,1,0,1,0,0.833333333333333,0,0,1,0,32.59,26.7141,0.75
DTXSID0034857,372.087684704,43,26,19,4,2,16,3,1,0.210526315789474,7,4,0,0,70.54,34.3575,2.436
DTXSID4041608,108.057514876,16,8,7,1,0,6,1,0,0.142857142857143,1,0,0,0,9.23,7.3158,0.738
DTXSID1026667,105.057849224,15,8,7,0,1,6,1,1,0,1,1,0,0,12.89,10.1472,0.766
DTXSID0037495,173.046822936,19,11,5,0,5,6,1,1,0.4,2,5,2,0,76.72,23.5047,2.222
DTXSID5025312,115.099714036,21,8,6,1,1,0,1,1,1,1,2,0,0,12.47,33.3564,0.71
DTXSID9034650,434.0411455,43,28,13,7,6,11,2,2,0.307692307692308,9,11,2,1,172.01,59.9011,3.682
DTXSID9021845,132.078644244,21,9,6,3,0,0,1,1,1,1,3,1,0,38.69,32.7231,0.784
DTXSID0027721,405.245649992001,62,31,30,0,1,24,4,0,0.2,6,1,1,1,12.03,30.5494,2.247
DTXSID1047601,150.104465068,25,11,10,1,0,6,1,0,0.4,2,1,1,0,20.23,21.0872,0.796
DTXSID20884445,589.616166148002,121,42,40,1,1,0,0,0,0.925,37,2,1,2,29.1,137.9821,1.138
DTXSID6020692,140.106196384,22,10,6,0,4,0,0,0,1,0,4,0,0,12.96,36.9954,1.569
DTXSID3041584,541.132392092001,59,38,26,5,1,12,3,0,0.36,12,5,0,2,85.62,71.2605,2.51
DTXSID0026252,310.07588097,37,22,18,3,0,18,3,0,0,6,0,0,1,41.28,11.6933,2.588
DTXSID9020089,273.9579792,21,16,9,0,4,12,2,1,0,2,4,1,0,50.7,20.8998,2.552
DTXSID9034232,200.024021828,22,13,9,3,0,6,1,0,0.222222222222222,3,2,1,0,46.53,23.6755,1.108
DTXSID5020865,266.037753744,29,17,13,0,2,12,2,0,0.0769230769230769,2,2,2,0,52.04,24.2764,2.027
