MoleculeID,LogWS_exp,LogWS_pred,WS_predRange,AD_WS,AD_index_WS,Conf_index_WS,LogWS_CAS_neighbor_1,LogWS_CAS_neighbor_2,LogWS_CAS_neighbor_3,LogWS_CAS_neighbor_4,LogWS_CAS_neighbor_5,LogWS_InChiKey_neighbor_1,LogWS_InChiKey_neighbor_2,LogWS_InChiKey_neighbor_3,LogWS_InChiKey_neighbor_4,LogWS_InChiKey_neighbor_5,LogWS_DTXSID_neighbor_1,LogWS_DTXSID_neighbor_2,LogWS_DTXSID_neighbor_3,LogWS_DTXSID_neighbor_4,LogWS_DTXSID_neighbor_5,LogWS_Exp_neighbor_1,LogWS_Exp_neighbor_2,LogWS_Exp_neighbor_3,LogWS_Exp_neighbor_4,LogWS_Exp_neighbor_5,LogWS_pred_neighbor_1,LogWS_pred_neighbor_2,LogWS_pred_neighbor_3,LogWS_pred_neighbor_4,LogWS_pred_neighbor_5,XLogP,naasC,minHBa,MLFER_A,nHBAcc,MAXDN,MLFER_E,mindNH,MDEO_11,apol,minHsOH
DTXSID5020281,-2.88,-2.88,[-2.92:-2.84],1,1,0.955,100-00-5,121-73-3,88-73-3,619-23-8,121-86-8,CZGCEKJOLUNIFY-UHFFFAOYSA-N,KMAQZIILEGKYQZ-UHFFFAOYSA-N,BFCFYVKQTRLZHA-UHFFFAOYSA-N,APGGSERFJKEWFG-UHFFFAOYSA-N,LLYXJBROWQDVMI-UHFFFAOYSA-N,DTXSID5020281,DTXSID4021971,DTXSID0020280,DTXSID4025743,DTXSID3026984,-2.88,-2.77,-2.72,-2.23,-3.32,-2.75,-2.8,-2.81,-2.92,-3.3,2.779,2,0.776433610481229,0.003,0,2.38515775034294,1.072,0,0.5,18.111172,0
DTXSID8020961,-2.32,-2.32,[-2.32:-2.28],1,1,0.959,100-01-6,99-09-2,119-32-4,603-83-8,99-52-5,TYMLOMAKGOJONV-UHFFFAOYSA-N,XJCVRTZCHMZPBD-UHFFFAOYSA-N,GDIIPKWHAQGCJF-UHFFFAOYSA-N,HFCFJYRLBAANKN-UHFFFAOYSA-N,XTTIQGSLJBWVIV-UHFFFAOYSA-N,DTXSID8020961,DTXSID6025725,DTXSID7025633,DTXSID8025628,DTXSID3025629,-2.32,-2.1,-2.18,-2.18,-2.18,-2.21,-2.35,-2.5,-2.45,-2.45,1.653,2,5.30421768707483,0.334,1,2.45888888888889,1.212,0,0.5,18.364758,0
DTXSID0021834,-0.97,-1.01,[-1.07:-0.97],1,1,0.971,100-02-7,824-78-2,554-84-7,2581-34-2,5428-54-6,BTJIUGUIPKRLHP-UHFFFAOYSA-N,BTJIUGUIPKRLHP-UHFFFAOYSA-N,RTZZCYNQPHTPPL-UHFFFAOYSA-N,PIIZYNQECPTVEO-UHFFFAOYSA-N,UMFDLIXUUJMPSI-UHFFFAOYSA-N,DTXSID0021834,DTXSID3027320,DTXSID2025765,DTXSID2062535,DTXSID4063874,-0.97,-1.06,-1.01,-2.11,-2.18,-1.06,-1.06,-1.24,-1.43,-1.57,1.72,2,8.71585034013605,0.722,0,2.51444444444444,1.11,0,0.721124785153704,17.399965,0.718398526077098
DTXSID3032622,-0.1,-0.09,[-0.14:-0.03],1,1,0.838,10004-44-1,79-15-2,872-50-4,694-85-9,127-19-5,KGVPNLBXJKTABS-UHFFFAOYSA-N,VBTQNRFWXBXZQR-UHFFFAOYSA-N,SECXISVLQFMRJM-UHFFFAOYSA-N,DVVGIUUJYPYENY-UHFFFAOYSA-N,FXHOOIRPVKKKFG-UHFFFAOYSA-N,DTXSID3032622,DTXSID5024633,DTXSID6020856,DTXSID8061008,DTXSID5020499,-0.1,-0.14,1,0.96,1.08,0.75,0.82,1.02,-0.11,0.54,0.00799999999999995,0,2.13773148148148,0.003,1,1.84953703703704,0.605,0,0,13.077965,0
DTXSID2044347,-1.86,-1.85,[-1.88:-1.82],1,1,0.954,100-06-1,586-37-8,123-11-5,119-84-6,553-86-6,NTPLXRHDUXRPNE-UHFFFAOYSA-N,BAYUSCHCCGXLAY-UHFFFAOYSA-N,ZRSNZINYAWTAHE-UHFFFAOYSA-N,VMUXSMXIQBNMGZ-UHFFFAOYSA-N,ACZGCWSMSTYWDQ-UHFFFAOYSA-N,DTXSID2044347,DTXSID10207321,DTXSID2026997,DTXSID2020474,DTXSID70203829,-1.86,-1.72,-1.5,-1.93,-1.51,-1.72,-1.8,-1.89,-1.87,-1.95,1.854,2,4.93760959939531,0.003,1,1.59013605442177,0.825,0,0,24.11193,0
DTXSID9059204,NaN,-2.27,[-2.71:-1.85],1,0.766,0.741,34841-35-5,104-88-1,89-98-5,4039-86-5,623-03-0,PQWGFUFROKIJBO-UHFFFAOYSA-N,AVPYQKSLYISFPO-UHFFFAOYSA-N,FPYUJUBAXZAQNL-UHFFFAOYSA-N,VUJITVTVTWYDAK-UHFFFAOYSA-N,GJNGXPDXRVXSEH-UHFFFAOYSA-N,DTXSID1049277,DTXSID2021860,DTXSID5024764,DTXSID201036266,DTXSID8044703,-1.85,-2.18,-1.94,-3,-2.75,-2.58,-2.25,-2.33,-2.32,-2.27,2.25,2,0.404267290249433,0.003,1,1.42655580750819,0.952,0,0,22.531551,0
DTXSID4059205,-2.69,-2.68,[-2.69:-2.59],1,1,0.841,100-09-4,104-01-8,619-86-3,579-75-9,1878-49-5,ZEYHEAKUIGZSGI-UHFFFAOYSA-N,NRPFNQUDKRYCNX-UHFFFAOYSA-N,SHSGDXCJYVZFTP-UHFFFAOYSA-N,ILUJQPXNXACGAN-UHFFFAOYSA-N,QJVXBRUGKLCUMY-UHFFFAOYSA-N,DTXSID4059205,DTXSID1059288,DTXSID2060709,DTXSID3060376,DTXSID9041441,-2.69,-1.44,-2.45,-1.48,-2.44,-1.91,-2.31,-1.99,-2.24,-2.02,1.589,2,4.85597694633409,0.591,2,2.59013605442177,0.798,0,0.5,21.820344,0.766736111111111
DTXSID80889259,NaN,-1.17,[-1.81:-0.31],1,0.68,0.62,60047-17-8,63500-71-0,1384257-92-4,57018-52-7,682-09-7,BRHDDEIRQPDPMG-UHFFFAOYSA-N,YVSNOTITPICPTB-UHFFFAOYSA-N,GWEWFXLOKRTOOW-UHFFFAOYSA-N,GQCZPFJGIXHZMB-UHFFFAOYSA-N,BDKDHWOPFRTWPP-UHFFFAOYSA-N,DTXSID60863673,DTXSID2052318,DTXSID601019608,DTXSID8025967,DTXSID7044976,-1.8,-0.79,-1.81,0.5,-1.72,-1.42,-1.73,-0.5,0.03,-0.93,1.499,0,5.6072515117158,0.281,2,1.62041666666667,0.393,0,0,28.651067,0.46375
DTXSID7030698,NaN,-3.02,[-5.24:-0.8],0,0.103,0.16,53784-84-2,56180-94-0,146-14-5,503155-49-5,22976-86-9,ONWAJCGYJSVQSX-UHFFFAOYSA-N,CEMXHAPUFJOOSV-UHFFFAOYSA-N,VWWQXMAJTJZDQX-UHFFFAOYSA-N,XMFZOOYRCKPYAK-UHFFFAOYSA-N,JPFWJDMDPLEUBD-UHFFFAOYSA-N,DTXSID201021110,DTXSID8046034,DTXSID4048307,DTXSID101036287,DTXSID30873865,-6.42,-0.64,-2.2,-3.75,-1.17,-2.81,-0.81,-0.57,-2.92,-0.06,-11.796,0,5.62936564540269,3.543,30,3.48136356784206,4.79,0,15.4972579019615,127.42758,0.205402727459014
DTXSID2026652,NaN,-3.94,[-4.14:-3.74],1,0.886,0.874,99-62-7,3748-13-8,535-77-3,99-87-6,527-84-4,UNEATYXSUBPPKP-UHFFFAOYSA-N,IBVPVTPPYGGAEL-UHFFFAOYSA-N,XCYJPXQACVEIOS-UHFFFAOYSA-N,HFPZCAJZSCWRBC-UHFFFAOYSA-N,WWRCMNKATXZARA-UHFFFAOYSA-N,DTXSID8026640,DTXSID7027546,DTXSID2060206,DTXSID3026645,DTXSID1052165,-3.97,-4.45,-3.5,-3.76,-3.76,-3.92,-5.15,-3.72,-3.62,-3.62,6.862,2,0,0.003,0,0.688692365835223,0.642,0,0,33.122274,0
